Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.048500679,5.50E-05,2.35E-03
0.000226391,0.044206809,-0.019792931,2.35E-03
0.000452783,0.032074016,-0.036052942,2.33E-03
0.000679174,0.014321977,-0.045807615,2.30E-03
0.000905565,-0.005838511,-0.047346905,2.28E-03
0.001131957,-0.024811922,-0.040446237,2.25E-03
0.001358348,-0.039259363,-0.026361309,2.24E-03
0.001584739,-0.046658862,-0.007573894,2.23E-03
0.001811131,-0.045704667,0.012644399,2.25E-03
0.002037522,-0.036509465,0.030772382,2.28E-03
0.002263914,-0.020535754,0.043774344,2.34E-03
0.002490305,-0.000564805,0.048953772,2.40E-03
0.002716696,0.019931875,0.045418713,2.46E-03
0.002943088,0.037286017,0.033632796,2.52E-03
0.003169479,0.048296414,0.015566017,2.57E-03
0.00339587,0.050833684,-0.005544399,2.61E-03
0.003622262,0.044309795,-0.026010428,2.64E-03
0.003848653,0.02981481,-0.041909311,2.65E-03
0.004075044,0.009928905,-0.05048053,2.65E-03
0.004301436,-0.011835684,-0.050038163,2.64E-03
0.004527827,-0.031585842,-0.040586155,2.64E-03
0.004754219,-0.04578317,-0.023720197,2.66E-03
0.00498061,-0.051845465,-0.002330137,2.69E-03
0.005207001,-0.048568897,0.019893076,2.75E-03
0.005433393,-0.036327861,0.039060112,2.85E-03
0.005659784,-0.016965637,0.051872738,2.98E-03
0.005886175,0.006224309,0.055530727,3.12E-03
0.006112567,0.029252259,0.049238447,3.28E-03
0.006338958,0.047967389,0.033757106,3.44E-03
0.006565349,0.05883383,0.01154319,3.59E-03
0.006791741,0.05947654,-0.013449621,3.72E-03
0.007018132,0.04948391,-0.03695048,3.81E-03
0.007244523,0.030401619,-0.054300327,3.87E-03
0.007470915,0.005412614,-0.062357135,3.92E-03
0.007697306,-0.021084467,-0.05921917,3.95E-03
0.007923697,-0.044279683,-0.045098331,3.99E-03
0.008150089,-0.059831958,-0.022182539,4.07E-03
0.00837648,-0.064630233,0.005725449,4.21E-03
0.008602871,-0.057338655,0.033829734,4.43E-03
0.008829263,-0.038660307,0.057111818,4.76E-03
0.009055654,-0.011297597,0.071148321,5.19E-03
0.009282045,0.020611482,0.072999276,5.75E-03
0.009508437,0.051246889,0.06121134,6.37E-03
0.009734828,0.075179674,0.037204336,7.04E-03
0.009961219,0.087613247,0.004552242,7.70E-03
0.010187611,0.085250177,-0.03115111,8.24E-03
0.010414002,0.067844696,-0.06393189,8.69E-03
0.010640393,0.037389573,-0.087158389,8.99E-03
0.010866785,-0.001349554,-0.095644057,9.15E-03
0.011093176,-0.041626904,-0.086479463,9.21E-03
0.011319567,-0.075776212,-0.059712149,9.31E-03
0.011545959,-0.096464686,-0.018557822,9.65E-03
0.01177235,-0.097934455,0.030892111,1.05E-02
0.011998741,-0.077055104,0.0804125,1.24E-02
0.012225133,-0.034046993,0.120735012,1.57E-02
0.012451524,0.027221605,0.14286238,2.12E-02
0.012677915,0.099427156,0.139461711,2.93E-02
0.012904307,0.172498509,0.106157884,4.10E-02
0.013130698,0.234823555,0.042527411,5.70E-02
0.013357089,0.274807662,-0.047414735,7.78E-02
0.013583481,0.282620192,-0.155408815,1.04E-01
0.013809872,0.251778007,-0.269762725,1.36E-01
0.014036263,0.18022494,-0.376788437,1.74E-01
0.014262655,0.070794396,-0.462574482,2.19E-01
0.014489046,-0.069060549,-0.51474613,2.70E-01
0.014715438,-0.228171855,-0.523897886,3.27E-01
0.014941829,-0.392870516,-0.484493047,3.89E-01
0.01516822,-0.548258722,-0.395376444,4.57E-01
0.015394612,-0.679562628,-0.259949863,5.29E-01
0.015621003,-0.773427963,-0.085982941,6.06E-01
0.015847394,-0.818927228,0.114895001,6.84E-01
0.016073786,-0.808420897,0.328504264,7.61E-01
0.016300177,-0.739361763,0.53917706,8.37E-01
0.016526568,-0.614226699,0.730097473,9.10E-01
0.01675296,-0.44012621,0.8855744,9.78E-01
0.016979352,-0.22866419,0.992794096,1.04E+00
0.017205742,0.005112494,1.04316461,1.09E+00
0.017432134,0.24435845,1.03325212,1.13E+00
0.017658526,0.472355217,0.965023994,1.15E+00
0.017884916,0.67437005,0.84531337,1.17E+00
0.018111308,0.839111447,0.684607387,1.17E+00
0.0183377,0.959604442,0.495431364,1.17E+00
0.01856409,1.03346872,0.290996343,1.15E+00
