Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,-0.020024553,-2.42E-05,4.01E-04
0.000112432,-0.019178342,0.00735145,4.22E-04
0.000224864,-0.016677404,0.014348363,4.84E-04
0.000337296,-0.012647379,0.020607809,5.85E-04
0.000449728,-0.007262825,0.025868002,7.22E-04
0.000562159,-0.00083638,0.029741731,8.85E-04
0.000674591,0.006328183,0.032080688,1.07E-03
0.000787023,0.01387049,0.032756664,1.27E-03
0.000899455,0.021410158,0.031724218,1.46E-03
0.001011887,0.028565085,0.029022915,1.66E-03
0.001124319,0.034970235,0.024776537,1.84E-03
0.001236751,0.0402954,0.019186959,1.99E-03
0.001349183,0.044262104,0.012525069,2.12E-03
0.001461615,0.046656985,0.005117991,2.20E-03
0.001574047,0.047343165,-0.002665963,2.25E-03
0.001686478,0.046267789,-0.010434827,2.25E-03
0.00179891,0.043465734,-0.017791851,2.21E-03
0.001911342,0.039058596,-0.024354603,2.12E-03
0.002023774,0.033251155,-0.029773247,1.99E-03
0.002136206,0.02632219,-0.033749018,1.83E-03
0.002248638,0.018612677,-0.036048785,1.65E-03
0.00236107,0.010510505,-0.036518242,1.44E-03
0.002473502,0.002432645,-0.035091117,1.24E-03
0.002585934,-0.005194548,-0.03179393,1.04E-03
0.002698366,-0.011955754,-0.026747942,8.58E-04
0.002810797,-0.017467456,-0.020164365,7.12E-04
0.002923229,-0.021397147,-0.012337535,6.10E-04
0.003035661,-0.023481019,-0.003632212,5.65E-04
0.003148093,-0.023538692,0.005532641,5.85E-04
0.003260525,-0.021484904,0.014704395,6.78E-04
0.003372957,-0.017353836,0.023458796,8.51E-04
0.003485389,-0.011232316,0.031239525,1.10E-03
0.003597821,-0.00336176,0.037710879,1.43E-03
0.003710253,0.005865977,0.042309802,1.82E-03
0.003822684,0.01622588,0.044977691,2.29E-03
0.003935116,0.027233124,0.045443554,2.81E-03
0.004047548,0.038233817,0.043522619,3.36E-03
0.00415998,0.04879158,0.039250642,3.92E-03
0.004272412,0.058384784,0.032746743,4.48E-03
0.004384844,0.066521861,0.024244869,5.01E-03
0.004497276,0.072764501,0.01408623,5.49E-03
0.004609708,0.076750971,0.002708207,5.90E-03
0.00472214,0.078216344,-0.009372184,6.21E-03
0.004834572,0.077009141,-0.021579893,6.40E-03
0.004947003,0.073103786,-0.033304453,6.45E-03
0.005059435,0.06660831,-0.043928113,6.37E-03
0.005171867,0.057766244,-0.05285224,6.13E-03
0.005284299,0.046953,-0.059527122,5.75E-03
0.005396731,0.034666739,-0.063479222,5.23E-03
0.005509163,0.021513194,-0.064336941,4.60E-03
0.005621595,0.008185306,-0.061854303,3.89E-03
0.005734027,-0.004561917,-0.055929855,3.15E-03
0.005846459,-0.015940672,-0.046620652,2.43E-03
0.00595889,-0.025162742,-0.034151077,1.80E-03
0.006071322,-0.031473246,-0.01891434,1.35E-03
0.006183754,-0.034185898,-0.001467728,1.17E-03
0.006296186,-0.032715894,0.017479977,1.38E-03
0.006408618,-0.026612952,0.037089534,2.08E-03
0.00652105,-0.015590226,0.056416635,3.43E-03
0.006633482,0.000576332,0.074575283,5.56E-03
0.006745914,0.021562079,0.090233028,8.61E-03
0.006858346,0.047160842,0.102453396,1.27E-02
0.006970777,0.076860562,0.110225081,1.81E-02
0.007083209,0.109939925,0.112595834,2.48E-02
0.007195641,0.145398408,0.108777456,3.30E-02
0.007308073,0.182241261,0.098190822,4.29E-02
0.007420505,0.219251603,0.080330581,5.45E-02
