Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,-0.020475186,-2.55E-05,4.19E-04
0.000111509,-0.019634286,0.007380193,4.40E-04
0.000223017,-0.017147495,0.014413207,5.02E-04
0.000334526,-0.013137078,0.020719467,6.02E-04
0.000446035,-0.007771296,0.026041213,7.39E-04
0.000557544,-0.001360713,0.029992361,9.01E-04
0.000669052,0.005799593,0.032425869,1.09E-03
0.000780561,0.013356437,0.03321131,1.28E-03
0.00089207,0.020935744,0.032298904,1.48E-03
0.001003579,0.028160956,0.029721897,1.68E-03
0.001115087,0.034670707,0.025595667,1.86E-03
0.001226596,0.040136293,0.020112537,2.02E-03
0.001338105,0.044277709,0.013532721,2.14E-03
0.001449614,0.046877619,0.006173297,2.24E-03
0.001561122,0.047792163,-0.001607073,2.29E-03
0.001672631,0.046958633,-0.009424927,2.29E-03
0.00178414,0.044399265,-0.016889004,2.26E-03
0.001895649,0.040222097,-0.023619896,2.18E-03
0.002007157,0.034616191,-0.029267494,2.05E-03
0.002118666,0.0278448,-0.033528481,1.90E-03
0.002230175,0.020233661,-0.036161345,1.72E-03
0.002341684,0.012157276,-0.036999609,1.52E-03
0.002453192,0.004021707,-0.035961006,1.31E-03
0.002564701,-0.003754043,-0.033053298,1.11E-03
0.00267621,-0.010757638,-0.028376119,9.21E-04
0.002787719,-0.016603528,-0.022118829,7.65E-04
0.002899227,-0.020951835,-0.014552899,6.51E-04
0.003010736,-0.02352595,-0.006021834,5.90E-04
0.003122245,-0.024127327,0.003073955,5.92E-04
0.003233753,-0.022647398,0.012295542,6.64E-04
0.003345262,-0.019094467,0.021185804,8.13E-04
0.003456771,-0.013524778,0.029324804,1.04E-03
0.00356828,-0.006150289,0.036224287,1.35E-03
0.003679788,0.00265229,0.041399542,1.72E-03
0.003791297,0.01274568,0.044741258,2.16E-03
0.003902806,0.023616551,0.045943324,2.67E-03
0.004014315,0.034635149,0.044810895,3.21E-03
0.004125823,0.045389354,0.041336838,3.77E-03
0.004237332,0.055362839,0.035599701,4.33E-03
0.004348841,0.064060226,0.027790967,4.88E-03
0.00446035,0.071030617,0.018209517,5.38E-03
0.004571858,0.075889535,0.007252085,5.81E-03
0.004683367,0.07834018,-0.00460099,6.16E-03
0.004794876,0.0781902,-0.016804531,6.40E-03
0.004906385,0.075365737,-0.028770536,6.51E-03
0.005017893,0.069920376,-0.039892994,6.48E-03
0.005129402,0.06203942,-0.049574133,6.31E-03
0.005240911,0.052038107,-0.057252303,5.99E-03
0.00535242,0.040355865,-0.062428758,5.53E-03
0.005463928,0.027542718,-0.064693667,4.94E-03
0.005575437,0.014242942,-0.06374982,4.27E-03
0.005686946,0.00117186,-0.059432767,3.53E-03
0.005798455,-0.010909687,-0.051726386,2.79E-03
0.005909963,-0.021226179,-0.04077404,2.11E-03
0.006021472,-0.029019339,-0.026882881,1.56E-03
0.006132981,-0.03358091,-0.0105226,1.24E-03
0.006244489,-0.034286566,0.007683584,1.23E-03
0.006355998,-0.030626571,0.026974991,1.67E-03
0.006467507,-0.02223645,0.046476234,2.65E-03
0.006579016,-0.008924242,0.065224119,4.33E-03
0.006690524,0.009452703,0.082333289,6.87E-03
0.006802033,0.032454353,0.096478969,1.04E-02
0.006913542,0.059800599,0.106774837,1.50E-02
0.007025051,0.090898976,0.112261057,2.09E-02
0.007136559,0.12492343,0.112031668,2.82E-02
0.007248068,0.160860941,0.105476812,3.70E-02
0.007359577,0.197689652,0.092006989,4.75E-02
0.007471086,0.234149069,0.071249314,5.99E-02
0.007582594,0.268924505,0.043079037,7.42E-02
0.007694103,0.300670832,0.007603613,9.05E-02
0.007805612,0.328050971,-0.034829587,1.09E-01
0.007917121,0.349780023,-0.083634995,1.29E-01
0.008028629,0.364668727,-0.137998208,1.52E-01
0.008140138,0.371668875,-0.196901143,1.77E-01
0.008251647,0.369892955,-0.259156644,2.04E-01
0.008363155,0.358637154,-0.323417544,2.33E-01
0.008474664,0.33742255,-0.388210177,2.65E-01
0.008586173,0.30601275,-0.45198065,2.98E-01
0.008697681,0.264421493,-0.513136029,3.33E-01
0.00880919,0.212916091,-0.570082605,3.70E-01
0.008920699,0.152017102,-0.621265233,4.09E-01
0.009032208,0.08249329,-0.665205657,4.49E-01
0.009143716,0.005347133,-0.700540721,4.91E-01
0.009255225,-0.078208864,-0.726056814,5.33E-01
0.009366734,-0.16678524,-0.74072361,5.76E-01
0.009478243,-0.258850813,-0.743735433,6.20E-01
0.009589751,-0.352755249,-0.734540164,6.64E-01
0.00970126,-0.446757734,-0.712849677,7.08E-01
0.009812769,-0.539070547,-0.678638995,7.51E-01
0.009924278,-0.627909482,-0.632148087,7.94E-01
0.010035786,-0.711539984,-0.573882759,8.36E-01
0.010147295,-0.788320661,-0.50460577,8.76E-01
0.010258804,-0.856742918,-0.425321162,9.15E-01
0.010370312,-0.915465713,-0.337249011,9.52E-01
0.010481821,-0.963353097,-0.241797268,9.87E-01
0.01059333,-0.99949646,-0.140524268,1.02E+00
0.010704839,-1.02323854,-0.035099749,1.05E+00
0.010816347,-1.03418434,0.072739005,1.07E+00
0.010927856,-1.03220952,0.181231335,1.10E+00
0.011039365,-1.01745629,0.288639098,1.12E+00
0.011150874,-0.990321696,0.393289149,1.14E+00
0.011262382,-0.951440275,0.493615746,1.15E+00
0.011373891,-0.901658654,0.58819598,1.16E+00
0.0114854,-0.842001498,0.675783336,1.17E+00
0.011596909,-0.773629785,0.755336761,1.17E+00
0.011708417,-0.697796464,0.826080322,1.17E+00
0.011819926,-0.616009831,0.887539685,1.17E+00
0.011931435,-0.529754519,0.939094305,1.16E+00
0.012042944,-0.440258741,0.980576217,1.16E+00
0.012154452,-0.348814309,1.01209164,1.15E+00
0.012265961,-0.256622583,1.03395057,1.13E+00
0.01237747,-0.164665297,1.04671884,1.12E+00
0.012488978,-0.073001236,1.05142474,1.11E+00
0.012600487,0.0020837,1.04048073,1.08E+00
0.012711996,0.08994434,1.03012657,1.07E+00
0.012823505,0.171543121,1.01101792,1.05E+00
0.012935013,0.248369232,0.985955477,1.03E+00
0.013046522,0.320536941,0.95580864,1.02E+00
0.013158031,0.388029426,0.921341538,9.99E-01
0.01326954,0.450881839,0.883254468,9.83E-01
0.013381048,0.509206831,0.842175424,9.69E-01
0.013492557,0.563185751,0.798645318,9.55E-01
0.013604066,0.613052666,0.753111243,9.43E-01
0.013715575,0.659073055,0.705922246,9.33E-01
0.013827083,0.70152241,0.657330871,9.24E-01
0.013938592,0.740666389,0.60749799,9.18E-01
0.014050101,0.776741505,0.556503117,9.13E-01
0.01416161,0.809939981,0.504355967,9.10E-01
0.014273118,0.840397477,0.451013029,9.10E-01
0.014384627,0.868182659,0.396394074,9.11E-01
0.014496136,0.893294334,0.340400428,9.14E-01
0.014607644,0.915658534,0.282935083,9.18E-01
0.014719153,0.935132742,0.223920673,9.25E-01
0.014830662,0.95151329,0.163318217,9.32E-01
0.014942171,0.964547217,0.101143867,9.41E-01
0.015053679,0.973953187,0.037480332,9.50E-01
0.015165188,0.979438126,-0.027520869,9.60E-01
0.015276697,0.980713665,-0.09364076,9.71E-01
0.015388206,0.977505267,-0.160590678,9.81E-01
0.015499714,0.969575405,-0.228005707,9.92E-01
0.015611223,0.956764281,-0.295450628,1.00E+00
0.015722732,0.939048111,-0.362467557,1.01E+00
0.015834241,0.91655767,-0.428758562,1.02E+00
0.015945749,0.889173746,-0.494368285,1.04E+00
0.016057258,0.856156051,-0.558893561,1.05E+00
0.016168767,0.817299306,-0.62114042,1.05E+00
0.016280276,0.773072064,-0.680210292,1.06E+00
0.016391784,0.723974109,-0.735555828,1.07E+00
0.016503293,0.670458972,-0.786733747,1.07E+00
0.016614802,0.612993658,-0.833346784,1.07E+00
0.01672631,0.552079022,-0.875048578,1.07E+00
0.01683782,0.488253325,-0.911557615,1.07E+00
0.016949328,0.422081202,-0.942665994,1.07E+00
0.017060836,0.354142338,-0.968244433,1.06E+00
0.017172346,0.285016954,-0.98824358,1.06E+00
0.017283854,0.215272084,-1.00269413,1.05E+00
0.017395362,0.145448834,-1.01169908,1.04E+00
0.017506872,0.076049581,-1.01542759,1.04E+00
0.01761838,0.0075302,-1.01410699,1.03E+00
0.01772989,-0.05970946,-1.00800896,1.02E+00
0.017841398,-0.125328824,-0.997440815,1.01E+00
0.017952906,-0.189050496,-0.982729852,1.00E+00
0.018064416,-0.250658274,-0.964213967,9.93E-01
0.018175924,-0.309996873,-0.942228496,9.84E-01
0.018287432,-0.366965264,-0.917096615,9.76E-01
0.018398942,-0.421512097,-0.889121473,9.68E-01
0.01851045,-0.473627985,-0.858577013,9.61E-01
0.018621958,-0.523337603,-0.825705647,9.56E-01
0.018733468,-0.570690393,-0.790713489,9.51E-01
0.018844976,-0.615757048,-0.753774524,9.47E-01
0.018956486,-0.658630848,-0.71502924,9.45E-01
0.019067994,-0.699442744,-0.674573183,9.44E-01
0.019179502,-0.738361716,-0.632399857,9.45E-01
0.019291012,-0.775502086,-0.588331819,9.48E-01
0.01940252,-0.8107512,-0.542108417,9.51E-01
0.019514028,-0.84380585,-0.493619978,9.56E-01
0.019625538,-0.874388397,-0.442934453,9.61E-01
0.019737046,-0.902305603,-0.39015907,9.66E-01
0.019848556,-0.927388966,-0.335382193,9.73E-01
