Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,-0.029568182,-2.56E-05,8.74E-04
0.000111257,-0.02893671,0.006141504,8.75E-04
0.000222514,-0.027057879,0.012060076,8.78E-04
0.000333771,-0.023999276,0.017487615,8.82E-04
0.000445028,-0.019873047,0.022195254,8.88E-04
0.000556285,-0.014834266,0.025974941,8.95E-04
0.000667542,-0.009079937,0.028648209,9.03E-04
0.000778799,-0.002843231,0.030074211,9.13E-04
0.000890056,0.003610992,0.030159257,9.23E-04
0.001001313,0.009995879,0.028864479,9.33E-04
0.00111257,0.016013319,0.026213242,9.44E-04
0.001223827,0.021411028,0.022297058,9.56E-04
0.001335084,0.025827564,0.017265376,9.65E-04
0.001446341,0.029067583,0.01134806,9.74E-04
0.001557598,0.030946009,0.004823076,9.81E-04
0.001668855,0.031346347,-0.001989615,9.87E-04
0.001780112,0.030231165,-0.008747054,9.90E-04
0.001891369,0.027646961,-0.015103539,9.92E-04
0.002002626,0.023722867,-0.020734312,9.93E-04
0.002113883,0.018661732,-0.025355505,9.91E-04
0.00222514,0.012726492,-0.028742129,9.88E-04
0.002336397,0.006222419,-0.030740516,9.84E-04
0.002447654,-0.000523925,-0.031273816,9.78E-04
0.002558911,-0.007184329,-0.030343071,9.72E-04
0.002670168,-0.01344729,-0.028021589,9.66E-04
0.002781425,-0.019033199,-0.024445707,9.60E-04
0.002892682,-0.023705306,-0.0198032,9.54E-04
0.003003939,-0.027276946,-0.014320677,9.49E-04
0.003115196,-0.029614734,-0.008250473,9.45E-04
0.003226453,-0.030637015,-0.00185908,9.42E-04
0.00333771,-0.030282546,0.004594009,9.38E-04
0.003448967,-0.028861312,0.010900384,9.52E-04
0.003560224,-0.025944945,0.016616842,9.49E-04
0.003671481,-0.021972012,0.021695446,9.53E-04
0.003782738,-0.01704214,0.025880313,9.60E-04
0.003893995,-0.011339511,0.02899373,9.69E-04
0.004005252,-0.005082372,0.030894414,9.80E-04
0.004116509,0.001483963,0.031481784,9.93E-04
0.004227766,0.008094051,0.030701116,1.01E-03
0.004339023,0.014469068,0.028548468,1.02E-03
0.00445028,0.020325737,0.025076056,1.04E-03
0.004561537,0.025387444,0.020394465,1.06E-03
0.004672794,0.029397121,0.014674936,1.08E-03
0.004784051,0.032131039,0.008147398,1.10E-03
0.004895308,0.033414822,0.001094769,1.12E-03
0.005006565,0.033137057,-0.006156679,1.14E-03
0.005117822,0.031262968,-0.013252822,1.15E-03
0.005229079,0.02784238,-0.019830843,1.17E-03
0.005340336,0.023013396,-0.025541291,1.18E-03
0.005451593,0.01699822,-0.030072494,1.19E-03
0.00556285,0.010091897,-0.033172462,1.20E-03
0.005674107,0.002645495,-0.034667842,1.21E-03
0.005785364,-0.004958416,-0.03447568,1.21E-03
0.005896621,-0.012330242,-0.032608975,1.22E-03
0.006007878,-0.019098526,-0.029173175,1.22E-03
0.006119135,-0.024933485,-0.024355963,1.21E-03
0.006230392,-0.029563624,-0.018411622,1.21E-03
0.006341649,-0.032787643,-0.011642638,1.21E-03
0.006452906,-0.034479827,-0.004379201,1.21E-03
0.006564163,-0.034587503,0.003039256,1.21E-03
0.00667542,-0.033082355,0.010113488,1.20E-03
0.006786677,-0.030320706,0.016809905,1.20E-03
0.006897934,-0.026608476,0.023094475,1.24E-03
0.007009191,-0.020856254,0.028136484,1.23E-03
0.007120448,-0.014572358,0.031923957,1.23E-03
0.007231705,-0.007661366,0.03438282,1.24E-03
0.007342962,-0.00037942,0.0354058,1.25E-03
0.007454219,0.00699375,0.034941375,1.27E-03
0.007565476,0.0141708,0.032989036,1.29E-03
0.007676733,0.020864775,0.029599691,1.31E-03
0.00778799,0.02679676,0.024875607,1.34E-03
0.007899247,0.031703867,0.018971551,1.37E-03
0.008010504,0.035349157,0.012093928,1.40E-03
0.008121761,0.037531711,0.004498823,1.43E-03
0.008233018,0.038098406,-0.003512061,1.46E-03
0.008344275,0.036955454,-0.011598862,1.50E-03
0.008455532,0.034080382,-0.019394666,1.54E-03
0.008566789,0.029531071,-0.026520366,1.58E-03
0.008678046,0.023453049,-0.032603182,1.61E-03
0.008789303,0.01608081,-0.037299007,1.65E-03
0.00890056,0.007733185,-0.040316425,1.69E-03
0.009011817,-0.001199063,-0.041439693,1.72E-03
0.009123074,-0.010272211,-0.040549453,1.75E-03
0.00923433,-0.019016363,-0.037636906,1.78E-03
0.009345587,-0.026966061,-0.032809977,1.80E-03
0.009456844,-0.033691444,-0.026289187,1.83E-03
0.009568101,-0.038828198,-0.018395826,1.85E-03
0.009679358,-0.042100951,-0.009528511,1.86E-03
0.009790615,-0.043339051,-0.00013769,1.88E-03
0.009901872,-0.042332143,0.009014018,1.87E-03
0.010013129,-0.039609417,0.018002978,1.89E-03
0.010124386,-0.035047207,0.026206182,1.92E-03
0.010235643,-0.028864231,0.03330151,1.94E-03
0.0103469,-0.021228097,0.039008908,1.97E-03
0.010458157,-0.012465531,0.042891558,2.00E-03
0.010569414,-0.003122096,0.044798635,2.02E-03
0.010680671,0.00639199,0.044728842,2.04E-03
0.010791928,0.015696077,0.04271064,2.07E-03
0.010903185,0.024419997,0.038830366,2.10E-03
0.011014442,0.032214563,0.033236582,2.14E-03
0.011125699,0.038763143,0.026135871,2.19E-03
0.011236956,0.043789957,0.017787652,2.23E-03
0.011348213,0.047065109,0.008497695,2.29E-03
0.01145947,0.048412941,-0.001387481,2.35E-03
0.011570727,0.047718648,-0.011486615,2.41E-03
0.011681984,0.044936564,-0.02139188,2.48E-03
0.011793241,0.040098712,-0.030679507,2.55E-03
0.011904498,0.033321057,-0.038923547,2.63E-03
0.012015755,0.024809305,-0.045712177,2.71E-03
0.012127012,0.014859727,-0.050667606,2.79E-03
0.012238269,0.003856895,-0.053467322,2.87E-03
0.012349526,-0.007735195,-0.053867079,2.96E-03
0.012460783,-0.019388683,-0.051723246,3.05E-03
0.01257204,-0.030533746,-0.047011953,3.14E-03
0.012683297,-0.040588539,-0.039843123,3.23E-03
0.012794554,-0.048992612,-0.030466,3.33E-03
0.012905811,-0.055243857,-0.01926516,3.42E-03
0.013017068,-0.0589335,-0.006745757,3.52E-03
0.013128325,-0.05977536,0.006492306,3.62E-03
0.013239582,-0.057468306,0.019143459,3.67E-03
0.013350839,-0.052717775,0.031722873,3.79E-03
0.013462096,-0.045274012,0.043189019,3.92E-03
0.013573353,-0.035316322,0.052969344,4.05E-03
0.01368461,-0.02323786,0.060401037,4.19E-03
0.013795867,-0.009696964,0.065032885,4.32E-03
0.013907124,0.00463246,0.066649184,4.46E-03
0.014018381,0.019091804,0.065171659,4.61E-03
0.014129638,0.03303431,0.060647532,4.77E-03
0.014240895,0.045843028,0.053247415,4.94E-03
0.014352152,0.056951687,0.043256205,5.11E-03
0.014463409,0.065863043,0.031059695,5.30E-03
0.014574666,0.072163031,0.017128766,5.50E-03
0.014685923,0.075532004,0.002003622,5.71E-03
0.01479718,0.075752921,-0.013723609,5.93E-03
0.014908437,0.072717927,-0.029424025,6.15E-03
0.015019694,0.066433199,-0.044448879,6.39E-03
0.015130951,0.057023484,-0.05814527,6.63E-03
0.015242208,0.044736363,-0.069874823,6.88E-03
0.015353465,0.029944437,-0.079032831,7.14E-03
0.015464722,0.0131465,-0.085072957,7.41E-03
0.015575979,-0.00503773,-0.087533094,7.69E-03
0.015687236,-0.023876943,-0.086064167,7.98E-03
0.015798493,-0.042546764,-0.080458574,8.28E-03
0.01590975,-0.060155064,-0.070676625,8.61E-03
0.016021007,-0.075775825,-0.056869447,8.98E-03
0.016132264,-0.088492408,-0.03939436,9.38E-03
0.016243521,-0.097444922,-0.018818472,9.85E-03
0.016354778,-0.101883501,0.004091061,1.04E-02
0.016466035,-0.101220086,0.028399156,1.11E-02
0.016577292,-0.095086463,0.053089432,1.19E-02
0.016688549,-0.084068872,0.077755027,1.31E-02
0.016799806,-0.06709335,0.097143859,1.39E-02
0.016911064,-0.044533197,0.115039326,1.52E-02
0.01702232,-0.017813807,0.128425494,1.68E-02
0.017133578,0.012292248,0.136314392,1.87E-02
0.017244834,0.04469889,0.137945354,2.10E-02
0.017356092,0.078152262,0.132799447,2.37E-02
0.017467348,0.111301802,0.120619468,2.69E-02
0.017578606,0.142761841,0.101418771,3.07E-02
0.017689862,0.171166033,0.075475618,3.50E-02
0.01780112,0.195216894,0.043318685,4.00E-02
0.017912376,0.213726684,0.005704307,4.57E-02
0.018023634,0.225651816,-0.036410254,5.22E-02
0.01813489,0.230118707,-0.081896029,5.97E-02
0.018246148,0.226446554,-0.129482552,6.80E-02
0.018357404,0.214163855,-0.177788153,7.75E-02
0.01846866,0.193025306,-0.225352943,8.80E-02
0.018579918,0.163024411,-0.270678669,9.98E-02
0.018691174,0.124378338,-0.312279344,1.13E-01
0.018802432,0.077492677,-0.348671705,1.28E-01
0.018913688,0.023020783,-0.378358573,1.44E-01
0.019024946,-0.038096916,-0.399910569,1.61E-01
0.019136202,-0.104652323,-0.412027121,1.81E-01
0.01924746,-0.175187096,-0.413580179,2.02E-01
0.019358716,-0.248015687,-0.403656512,2.24E-01
0.019469974,-0.321263194,-0.381602496,2.49E-01
0.01958123,-0.392915279,-0.347076088,2.75E-01
0.019692488,-0.460869968,-0.300097734,3.02E-01
0.019803744,-0.522987306,-0.241080359,3.32E-01
0.019915002,-0.577159464,-0.170831785,3.62E-01
0.020026258,-0.621394515,-0.090545259,3.94E-01
0.020137516,-0.653900623,-0.001778283,4.28E-01
0.020248772,-0.67316395,0.093587063,4.62E-01
0.02036003,-0.678013027,0.193399638,4.97E-01
0.020471286,-0.667668641,0.295311481,5.33E-01
0.020582544,-0.64177525,0.396859974,5.69E-01
0.0206938,-0.600412011,0.495552987,6.06E-01
0.020805058,-0.544084787,0.588954568,6.43E-01
0.020916314,-0.473698378,0.67476207,6.80E-01
0.021027572,-0.390515447,0.750873208,7.16E-01
0.021138828,-0.296104372,0.815438747,7.53E-01
0.021250086,-0.192281395,0.866902113,7.88E-01
0.021361342,-0.081051439,0.904022753,8.24E-01
0.0214726,0.035450392,0.925890625,8.59E-01
0.021583856,0.155013338,0.931927741,8.93E-01
0.021695114,0.275401294,0.921883702,9.26E-01
0.02180637,0.394398332,0.895825386,9.58E-01
0.021917628,0.509850502,0.8541224,9.89E-01
0.022028884,0.619706213,0.797428608,1.02E+00
0.022140142,0.722064435,0.726664782,1.05E+00
0.022251398,0.815242648,0.642994106,1.08E+00
0.022362656,0.897944987,0.54778856,1.11E+00
0.022473912,0.970062017,0.442434251,1.14E+00
0.02258517,0.991758108,0.340502501,1.10E+00
0.022696426,1.05200982,0.219137922,1.15E+00
0.022807684,1.07869232,0.093267828,1.17E+00
0.02291894,1.08868968,-0.033094175,1.19E+00
0.023030198,1.08270705,-0.158788756,1.20E+00
0.023141454,1.06119668,-0.281944782,1.21E+00
0.023252712,1.02482843,-0.400605857,1.21E+00
0.023363968,0.974548817,-0.512894094,1.21E+00
0.023475226,0.911572158,-0.617096663,1.21E+00
0.023586482,0.837349534,-0.711726069,1.21E+00
0.02369774,0.753523409,-0.795566916,1.20E+00
0.023808996,0.661870241,-0.867706597,1.19E+00
0.023920254,0.564237535,-0.927552164,1.18E+00
0.02403151,0.462480634,-0.974832892,1.16E+00
0.024142768,0.358398706,-1.00958455,1.15E+00
0.024254024,0.253680199,-1.03212476,1.13E+00
0.024365282,0.149854511,-1.04301119,1.11E+00
0.024476538,0.048256859,-1.04299843,1.09E+00
0.024587796,-0.049994975,-1.03298318,1.07E+00
0.024699052,-0.14401193,-1.01395428,1.05E+00
0.02481031,-0.23313424,-0.986941338,1.03E+00
0.024921566,-0.316924036,-0.952967942,1.01E+00
0.025032824,-0.39515993,-0.913021088,9.90E-01
0.02514408,-0.467816621,-0.868066669,9.72E-01
0.025255338,-0.534899712,-0.819056749,9.57E-01
0.025366594,-0.596422434,-0.766649067,9.43E-01
0.025477852,-0.652628183,-0.711300671,9.32E-01
0.025589108,-0.703842759,-0.653359473,9.22E-01
0.025700366,-0.750362515,-0.592958093,9.15E-01
0.025811622,-0.792208135,-0.529910803,9.08E-01
0.02592288,-0.813653052,-0.472755641,8.86E-01
0.026034136,-0.847381592,-0.410896927,8.87E-01
0.026145394,-0.877396166,-0.345962435,8.90E-01
0.02625665,-0.902751684,-0.278800249,8.93E-01
0.026367908,-0.923489809,-0.210003376,8.97E-01
0.026479164,-0.939669371,-0.139770329,9.03E-01
0.026590422,-0.951210499,-0.068202682,9.09E-01
0.026701678,-0.957930088,0.004579545,9.18E-01
0.026812936,-0.959584117,0.078396507,9.27E-01
0.026924192,-0.955896497,0.152990118,9.37E-01
0.02703545,-0.946590781,0.228019312,9.48E-01
0.027146706,-0.931411564,0.303058714,9.59E-01
0.027257964,-0.910147965,0.377606124,9.71E-01
0.02736922,-0.882653594,0.451092809,9.83E-01
0.027480478,-0.848860621,0.522898436,9.94E-01
0.027591734,-0.808790624,0.592368603,1.01E+00
0.027702992,-0.762560785,0.658833027,1.02E+00
0.027814248,-0.710384667,0.721625626,1.03E+00
0.027925506,-0.65256846,0.780098557,1.03E+00
0.028036762,-0.589505613,0.833640754,1.04E+00
0.02814802,-0.521664679,0.881684005,1.05E+00
0.028259276,-0.449580491,0.923705339,1.06E+00
0.028370534,-0.373854429,0.95920682,1.06E+00
0.02848179,-0.295241773,0.987691104,1.06E+00
0.028593048,-0.214781791,1.00892842,1.06E+00
0.028704304,-0.133264586,1.02310848,1.06E+00
0.028815562,-0.051276691,1.03028738,1.06E+00
0.028926818,0.030504763,1.03053236,1.06E+00
0.029038076,0.111390807,1.02407038,1.06E+00
0.029149332,0.190830678,1.01131868,1.06E+00
0.02926059,0.268626571,0.992722034,1.06E+00
0.029371846,0.344814003,0.96827352,1.06E+00
0.029483104,0.418925285,0.937558293,1.05E+00
0.02959436,0.489966214,0.900580287,1.05E+00
0.029705618,0.557083786,0.857858837,1.05E+00
0.029816874,0.619731247,0.810055137,1.04E+00
0.029928132,0.677551866,0.757814169,1.03E+00
0.030039388,0.730297506,0.701751351,1.03E+00
0.030150646,0.777803063,0.64245975,1.02E+00
0.030261902,0.819974899,0.580512762,1.01E+00
0.03037316,0.856788397,0.516459763,1.00E+00
0.030484416,0.888281584,0.450817913,9.92E-01
0.030595674,0.914550006,0.384064853,9.84E-01
0.03070693,0.935735285,0.316630006,9.76E-01
0.030818188,0.952014685,0.248889461,9.68E-01
0.030929444,0.963587999,0.181162745,9.61E-01
0.031040702,0.970665395,0.113712318,9.55E-01
0.031151958,0.973451972,0.046746984,9.50E-01
0.031263216,0.972138882,-0.019571763,9.45E-01
0.031374472,0.96688956,-0.085121207,9.42E-01
0.03148573,0.957834065,-0.149803206,9.40E-01
0.031596986,0.945065498,-0.213528886,9.39E-01
0.031708244,0.928646564,-0.276199877,9.39E-01
0.0318195,0.908628941,-0.337697715,9.40E-01
0.031930758,0.885077059,-0.397899419,9.42E-01
0.032042014,0.858050764,-0.45670256,9.45E-01
0.032153272,0.827582359,-0.514012933,9.49E-01
0.032264528,0.793683529,-0.569719851,9.55E-01
0.032375786,0.756370842,-0.623709738,9.61E-01
0.032487042,0.715645373,-0.675906956,9.69E-01
0.0325983,0.671396255,-0.726277828,9.78E-01
0.032709556,0.623312414,-0.77467221,9.89E-01
0.032820814,0.571050227,-0.820602953,9.99E-01
0.03293207,0.514545143,-0.86333704,1.01E+00
0.033043328,0.454039991,-0.902184129,1.02E+00
0.033154584,0.389916509,-0.936601818,1.03E+00
0.033265842,0.322601616,-0.966148853,1.04E+00
0.033377098,0.252555251,-0.990445256,1.04E+00
0.033488356,0.180280641,-1.009161,1.05E+00
0.033599612,0.106328011,-1.02202344,1.06E+00
0.033710868,0.031291511,-1.02882957,1.06E+00
0.033822128,-0.044201165,-1.02945828,1.06E+00
0.033933384,-0.119504929,-1.02387679,1.06E+00
0.03404464,-0.193972975,-1.012146,1.06E+00
0.034155896,-0.266976267,-0.994419396,1.06E+00
0.034267156,-0.337919712,-0.970936954,1.06E+00
0.034378412,-0.406258762,-0.94201684,1.05E+00
0.034489668,-0.471511751,-0.908043623,1.05E+00
0.034600924,-0.533268034,-0.869451225,1.04E+00
0.034712184,-0.591194272,-0.826710939,1.03E+00
0.03482344,-0.64503485,-0.780313015,1.02E+00
0.034934696,-0.69460994,-0.730756044,1.02E+00
0.035045952,-0.739813328,-0.678535998,1.01E+00
0.035157212,-0.780611336,-0.624136925,9.99E-01
0.035268468,-0.817042947,-0.568017721,9.90E-01
0.035379724,-0.849215806,-0.510596514,9.82E-01
0.03549098,-0.877293348,-0.452233523,9.74E-01
0.03560224,-0.901482165,-0.393224657,9.67E-01
0.035713496,-0.922023296,-0.333788693,9.62E-01
0.035824752,-0.93917954,-0.274041653,9.57E-01
0.035936008,-0.953181148,-0.213962391,9.54E-01
0.036047268,-0.964120328,-0.15341273,9.53E-01
0.036158524,-0.971890569,-0.092275769,9.53E-01
0.03626978,-0.97628206,-0.030589186,9.54E-01
0.036381036,-0.977128088,0.031473871,9.56E-01
0.036492296,-0.974346578,0.093705684,9.58E-01
0.036603552,-0.967894435,0.155919835,9.61E-01
0.036714808,-0.957728922,0.217946291,9.65E-01
0.036826064,-0.943793178,0.27961278,9.69E-01
0.03693732,-0.926019073,0.340727657,9.74E-01
0.03704858,-0.904336989,0.401070237,9.79E-01
0.037159836,-0.878685117,0.460386872,9.84E-01
0.037271092,-0.849022031,0.518391371,9.90E-01
0.037382348,-0.815335572,0.574768782,9.95E-01
0.037493608,-0.777650535,0.629181147,1.00E+00
0.037604864,-0.736035228,0.681275129,1.01E+00
0.03771612,-0.69060564,0.730690837,1.01E+00
0.037827376,-0.641525865,0.777070045,1.02E+00
0.037938636,-0.589009583,0.820066214,1.02E+00
0.038049892,-0.533317924,0.859352231,1.02E+00
0.038161148,-0.4747563,0.894628584,1.03E+00
0.038272404,-0.413671821,0.925631762,1.03E+00
0.038383664,-0.350446284,0.952141643,1.03E+00
0.03849492,-0.285490096,0.973989666,1.03E+00
0.038606176,-0.219230488,0.991065562,1.03E+00
0.038717432,-0.152099356,1.00332057,1.03E+00
0.038828692,-0.08451765,1.01076829,1.03E+00
0.038939948,-0.016880626,1.01347959,1.03E+00
0.039051204,0.05046076,1.01157665,1.03E+00
0.03916246,0.117222115,1.00521076,1.02E+00
0.03927372,0.183195949,0.994516015,1.02E+00
0.039384976,0.248212978,0.97955215,1.02E+00
0.039496232,0.312051803,0.960298538,1.02E+00
0.039607488,0.374379069,0.93674022,1.02E+00
0.039718748,0.434791297,0.908961892,1.02E+00
0.039830004,0.492901236,0.877163291,1.01E+00
