Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.038209703,0,0.001459981
8.83E-05,0.03759395,-0.006628864,0.001457247
0.000176642,0.035776578,-0.013007704,0.001449164
0.000264962,0.032845158,-0.018903349,0.001436141
0.000353283,0.028935541,-0.024114251,0.001418763
0.000441604,0.024220778,-0.028481318,0.001397832
0.000529925,0.018895809,-0.031892907,0.001374209
0.000618245,0.013163793,-0.034285925,0.00134881
0.000706566,0.007224104,-0.035641912,0.001322534
0.000794887,0.001262659,-0.035980873,0.001296218
0.000883208,-0.004554929,-0.035353404,0.001270611
0.000971529,-0.010085518,-0.033832718,0.00124637
0.001059849,-0.015209965,-0.031507202,0.001224047
0.00114817,-0.019831972,-0.028474132,0.001204083
0.001236491,-0.023876362,-0.024834758,0.001186846
0.001324812,-0.027285541,-0.020691535,0.00117264
0.001413133,-0.030017169,-0.01614468,0.001161681
0.001501453,-0.032041505,-0.011292292,0.001154174
0.001589774,-0.03333902,-0.006228934,0.00115029
0.001678095,-0.033897452,-0.001045937,0.001150131
0.001766416,-0.033710726,0.004167442,0.001153781
0.001854736,-0.032777235,0.00932174,0.001161242
0.001943057,-0.031100662,0.014324723,0.001172449
0.002031378,-0.028691873,0.019080862,0.001187303
0.002119699,-0.025571408,0.023490435,0.001205697
0.00220802,-0.021771321,0.027449101,0.001227444
0.00229634,-0.017338228,0.030849787,0.001252323
0.002384661,-0.012336664,0.033583235,0.001280027
0.002472982,-0.006852018,0.035541207,0.001310128
0.002561303,-0.000993885,0.0366209,0.001342078
0.002649624,0.005101686,0.036731374,0.001375221
0.002737944,0.01127138,0.03580061,0.001408728
0.002826265,0.017327011,0.033785097,0.001441658
0.002914586,0.023059724,0.030678887,0.001472945
0.003002907,0.028249139,0.026522188,0.00150144
0.003091227,0.032675855,0.021407297,0.001525984
0.003179548,0.036134977,0.015477771,0.001545298
0.003267869,0.038440686,0.008912693,0.001557122
0.00335619,0.039215371,0.002342448,0.001543332
0.003444511,0.039311934,-0.004712685,0.001567638
0.003532831,0.037813395,-0.011555664,0.001563386
0.003621152,0.035075996,-0.017922618,0.001551546
0.003709473,0.031251449,-0.023605317,0.001533864
0.003797794,0.026522921,-0.028423498,0.001511361
