Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.01907572,0,0.000363883
7.62E-05,0.018866586,-0.002829619,0.000363955
0.000152445,0.018243091,-0.005599375,0.000364163
0.000228668,0.017217483,-0.00825054,0.000364513
0.000304891,0.015809957,-0.010725937,0.000365
0.000381114,0.014048254,-0.012971801,0.000365621
0.000457336,0.011967857,-0.014937961,0.000366372
0.000533559,0.009611061,-0.016579436,0.00036725
0.000609782,0.007026718,-0.017857058,0.000368249
0.000686004,0.004269375,-0.018738512,0.000369359
0.000762227,0.001398823,-0.019199383,0.000370573
0.00083845,-0.001521784,-0.019224327,0.000371891
0.000914672,-0.0044265,-0.018807042,0.000373299
0.000990895,-0.007248234,-0.017951351,0.000374788
0.001067118,-0.009920321,-0.016671598,0.000376355
0.001143341,-0.012377728,-0.014992216,0.000377975
0.001219563,-0.014560073,-0.01294844,0.000379658
0.001295786,-0.016411735,-0.010584749,0.000381382
0.001372009,-0.017884759,-0.007954679,0.000383142
0.001448231,-0.018939892,-0.005119295,0.000384927
0.001524454,-0.019548005,-0.002145759,0.000386729
0.001600677,-0.019691251,0.000894499,0.000388546
0.001676899,-0.019363331,0.003927371,0.000390363
0.001753122,-0.018570503,0.006879184,0.000392187
0.001829345,-0.017330743,0.009677502,0.000394009
0.001905568,-0.015673587,0.012254257,0.000395828
0.00198179,-0.013639218,0.014547247,0.000397651
0.002058013,-0.011277016,0.016501498,0.000399471
0.002134236,-0.008644198,0.018071622,0.000401306
0.002210458,-0.005804139,0.019221624,0.000403159
0.002286681,-0.002824166,0.019926464,0.00040504
0.002362904,0.00022571,0.020171884,0.000406956
0.002439126,0.003275212,0.01995497,0.000408928
0.002515349,0.00625506,0.019283231,0.000410969
0.002591572,0.009098861,0.018174233,0.000413092
0.002667795,0.011744295,0.016654622,0.000415305
0.002744017,0.014134053,0.014760097,0.000417632
0.00282024,0.016217584,0.012533212,0.000420091
0.002896463,0.017951099,0.010022855,0.0004227
0.002972685,0.019298323,0.007283016,0.000425468
0.003048908,0.02023099,0.004371664,0.000428404
0.003125131,0.020729519,0.001349877,0.000431535
0.003201353,0.020782881,-0.001719417,0.000434885
0.003277576,0.0203902,-0.004770442,0.000438517
0.003353799,0.019524597,-0.007721663,0.000440834
0.003430022,0.018259613,-0.01058233,0.000445399
0.003506244,0.016584897,-0.013215653,0.000449712
0.003582467,0.014530234,-0.01558912,0.000454148
0.00365869,0.012135034,-0.01765048,0.000458798
0.003734912,0.00944491,-0.019351475,0.000463686
0.003811135,0.006512053,-0.020649897,0.000468825
0.003887358,0.003394741,-0.021510391,0.000474221
0.00396358,0.000156641,-0.021905387,0.000479871
0.004039803,-0.003133849,-0.021816501,0.000485781
0.004116026,-0.006405087,-0.021234728,0.000491939
0.004192249,-0.009583409,-0.020161882,0.000498343
0.004268471,-0.012594657,-0.018610705,0.000504984
0.004344694,-0.015365583,-0.016605452,0.000511842
0.004420917,-0.017826214,-0.014181959,0.000518902
0.004497139,-0.019911576,-0.01138753,0.000526147
0.004573362,-0.021563675,-0.008279897,0.000533549
0.004649585,-0.022733674,-0.004926838,0.000541094
0.004725808,-0.023383074,-0.001404174,0.00054874
0.00480203,-0.023486372,0.002205744,0.000556475
0.004878253,-0.023030983,0.005816183,0.000564254
0.004954476,-0.022019427,0.009338429,0.000572061
0.005030698,-0.020468414,0.012685002,0.000579865
0.005106921,-0.018409636,0.015771223,0.000587646
0.005183144,-0.015888145,0.018518789,0.000595379
0.005259366,-0.012961743,0.020857519,0.000603043
0.005335589,-0.009698994,0.022727907,0.000610628
0.005411812,-0.006176863,0.024082601,0.000618125
0.005488035,-0.002479224,0.024887439,0.000625531
0.005564257,0.001306806,0.025122514,0.000632848
0.00564048,0.00509232,0.024782091,0.000640084
0.005716703,0.008789758,0.023874486,0.000647251
0.005792925,0.012314724,0.022421302,0.000654367
0.005869148,0.015588123,0.020456523,0.000661459
0.005945371,0.018537816,0.01802494,0.000668549
