Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.020550631,0,0.000422328
0.000112432,0.02006286,-0.004463964,0.000422445
0.000224864,0.018620536,-0.008721475,0.000422788
0.000337296,0.016286671,-0.012573904,0.000423359
0.000449728,0.013164166,-0.015838444,0.000424152
0.000562159,0.00939276,-0.018355839,0.000425161
0.000674591,0.005144478,-0.019997736,0.000426375
0.000787023,0.000617678,-0.020673934,0.000427793
0.000899455,-0.003971474,-0.020337785,0.000429398
0.001011887,-0.008397616,-0.018990908,0.000431175
0.001124319,-0.012438064,-0.016685734,0.000433119
0.001236751,-0.015883943,-0.013524369,0.000435208
0.001349183,-0.018552339,-0.009656331,0.000437434
0.001461615,-0.020297682,-0.005271054,0.00043978
0.001574047,-0.021021061,-0.000589015,0.000442232
0.001686478,-0.020677367,0.004150687,0.000444782
0.00179891,-0.019278485,0.008704005,0.00044742
0.001911342,-0.016892929,0.012836027,0.000450135
0.002023774,-0.013642147,0.016334796,0.000452934
0.002136206,-0.009692227,0.01902302,0.000455815
0.002248638,-0.005244449,0.02076748,0.000458792
0.00236107,-0.000522631,0.021485105,0.000461883
0.002473502,0.004239075,0.021145338,0.000465095
0.002585934,0.008808603,0.019770762,0.000468475
0.002698366,0.012967162,0.017432142,0.000472027
0.002810797,0.016518937,0.014244977,0.000475795
0.002923229,0.019298887,0.010361269,0.000479803
0.003035661,0.021178538,0.005962254,0.000484079
0.003148093,0.022070158,0.001250228,0.000488655
0.003260525,0.021930508,-0.003558217,0.000493608
0.003372957,0.020735718,-0.008246251,0.000497971
0.003485389,0.01857562,-0.012604795,0.000503934
0.003597821,0.015503733,-0.016418066,0.000509919
0.003710253,0.011652271,-0.019506302,0.000516271
0.003822684,0.007185429,-0.021711743,0.00052303
0.003935116,0.002299115,-0.022911878,0.00053024
0.004047548,-0.002785207,-0.023024658,0.000537892
0.00415998,-0.007828244,-0.022016412,0.000546004
0.004272412,-0.012583386,-0.019905429,0.000554568
0.004384844,-0.0168078,-0.016764972,0.000563566
0.004497276,-0.02027561,-0.012723326,0.000572983
