Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.020950267,0,0.000438914
0.000111176,0.020465056,-0.004495748,0.00043903
0.000222352,0.019029953,-0.008788615,0.000439379
0.000333528,0.016706089,-0.012683204,0.000439957
0.000444704,0.01359335,-0.015999464,0.000440762
0.00055588,0.009827603,-0.018579593,0.000441783
0.000667056,0.005576469,-0.020295708,0.000443013
0.000778232,0.001032994,-0.021056416,0.00044444
0.000889407,-0.003591173,-0.020812327,0.000446049
0.001000583,-0.008075252,-0.019560866,0.000447837
0.001111759,-0.012199329,-0.017348085,0.00044978
0.001222935,-0.015756214,-0.014269014,0.000451863
0.001334111,-0.018562309,-0.010464899,0.000454073
0.001445287,-0.020468995,-0.006116921,0.000456396
0.001556463,-0.021371782,-0.001437838,0.00045882
0.001667639,-0.021217298,0.003339775,0.000461328
0.001778815,-0.02000748,0.0079759,0.000463914
0.001889991,-0.017799605,0.012237173,0.000466574
0.002001167,-0.014702877,0.015910098,0.000469306
0.002112343,-0.01087221,0.018812381,0.000472111
0.002223519,-0.006498229,0.020803299,0.000475004
0.002334695,-0.001796597,0.021789273,0.000478
0.002445871,0.00300419,0.021727705,0.000481118
0.002557047,0.007674828,0.0206271,0.00048438
0.002668223,0.011996168,0.018545007,0.000487825
0.002779398,0.015768951,0.015582537,0.000491475
0.002890574,0.0188215,0.011878921,0.000495358
0.00300175,0.021016309,0.007604176,0.000499509
0.003112926,0.022254147,0.002950876,0.000503955
0.003224102,0.022477534,-0.001872809,0.000508747
0.003335278,0.021660645,-0.006633533,0.000513187
0.003446454,0.019843044,-0.01118192,0.000518782
0.00355763,0.017095303,-0.015245603,0.000524678
0.003668806,0.013519432,-0.018657675,0.000530884
0.003779982,0.009263355,-0.021252828,0.000537492
0.003891158,0.004507078,-0.02289594,0.000544538
0.004002334,-0.000541576,-0.023488928,0.000552023
0.00411351,-0.005654356,-0.02297787,0.000559954
0.004224686,-0.010591324,-0.021357633,0.000568325
0.004335862,-0.015111084,-0.018675963,0.000577136
0.004447038,-0.018982783,-0.015033527,0.000586353
0.004558213,-0.021998653,-0.010583751,0.000595957
0.004669389,-0.023986472,-0.005526746,0.000605896
0.004780565,-0.024821788,-0.000101206,0.000616131
0.004891741,-0.024436891,0.005427077,0.000626615
0.005002917,-0.022827284,0.010779696,0.000637287
0.005114093,-0.020054063,0.015682066,0.000648093
0.005225269,-0.016241668,0.019879507,0.000658987
0.005336445,-0.011571307,0.023152487,0.000669933
0.005447621,-0.006269921,0.025329238,0.000680882
0.005558797,-0.000597263,0.026295733,0.000691822
0.005669973,0.005169495,0.026000518,0.000702751
0.005781149,0.010751389,0.024455603,0.000713669
0.005892325,0.015882209,0.021733876,0.000724606
0.006003501,0.020320574,0.017963124,0.0007356
0.006114677,0.023861153,0.013317378,0.000746707
0.006225852,0.026341558,0.008007405,0.000757996
0.006337028,0.027647616,0.002269786,0.000769543
0.006448204,0.02771562,-0.003642773,0.000781425
0.00655938,0.026533125,-0.009472135,0.000793728
