Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.046631355,3.83E-05,2.17E-03
0.000114232,0.045577556,-0.00978208,2.17E-03
0.000228464,0.0424514,-0.019149156,2.17E-03
0.000342696,0.037398808,-0.027630065,2.16E-03
0.000456928,0.030655552,-0.034834448,2.15E-03
0.00057116,0.022535121,-0.040432446,2.14E-03
0.000685393,0.013412969,-0.04416956,2.13E-03
0.000799625,0.003709077,-0.045878276,2.12E-03
0.000913857,-0.006132013,-0.045484405,2.11E-03
0.001028089,-0.015661798,-0.043009549,2.10E-03
0.001142321,-0.024448104,-0.038569205,2.09E-03
0.001256553,-0.032094114,-0.032366261,2.08E-03
0.001370785,-0.038254838,-0.024681443,2.07E-03
0.001485017,-0.042652145,-0.015860796,2.07E-03
0.001599249,-0.045086414,-0.006299604,2.07E-03
0.001713481,-0.045444243,0.003573896,2.08E-03
0.001827713,-0.043703251,0.013316957,2.09E-03
0.001941945,-0.03993351,0.022491319,2.10E-03
0.002056178,-0.034294721,0.030681316,2.12E-03
0.00217041,-0.027030012,0.037512243,2.14E-03
0.002284642,-0.01841622,0.042789985,2.17E-03
0.002398874,-0.008896579,0.046016365,2.20E-03
0.002513106,0.001126499,0.047155086,2.22E-03
0.002627338,0.011200531,0.046136607,2.25E-03
0.00274157,0.020865277,0.042988516,2.28E-03
0.002855802,0.029673956,0.037836246,2.31E-03
0.002970034,0.037213497,0.030899026,2.34E-03
0.003084266,0.043124747,0.022481239,2.37E-03
0.003198498,0.047121145,0.012958469,2.39E-03
0.003312731,0.049022373,0.002747979,2.41E-03
0.003426963,0.048650585,-0.00759659,2.42E-03
0.003541195,0.046085812,-0.017718062,2.44E-03
0.003655427,0.041404352,-0.027081158,2.45E-03
0.003769659,0.034809638,-0.035251495,2.45E-03
0.003883891,0.026596244,-0.041843623,2.46E-03
0.003998123,0.017135834,-0.046543557,2.46E-03
0.004112355,0.006904132,-0.049071305,2.46E-03
0.004226587,-0.003703275,-0.049412042,2.46E-03
0.004340819,-0.014174104,-0.047478177,2.46E-03
0.004455052,-0.024027642,-0.043345712,2.46E-03
0.004569284,-0.032810029,-0.037189379,2.46E-03
0.004683516,-0.04011396,-0.02927657,2.47E-03
0.004797748,-0.045597315,-0.019953555,2.48E-03
0.00491198,-0.048996624,-0.009631065,2.49E-03
0.005026212,-0.050139476,0.001233319,2.52E-03
0.005140444,-0.048951577,0.012154843,2.54E-03
0.005254676,-0.045460746,0.022641705,2.58E-03
0.005368908,-0.039796285,0.032216139,2.62E-03
0.00548314,-0.032175824,0.040559564,2.68E-03
0.005597372,-0.022911441,0.047029495,2.74E-03
0.005711604,-0.012410446,0.051429253,2.80E-03
0.005825837,-0.001129026,0.053526446,2.87E-03
0.005940069,0.010433263,0.053187288,2.94E-03
0.006054301,0.021754101,0.050385278,3.01E-03
0.006168533,0.032311373,0.045205042,3.09E-03
0.006282765,0.041607276,0.037841447,3.16E-03
0.006396997,0.049191549,0.028593548,3.24E-03
0.006511229,0.05468652,0.017853446,3.31E-03
0.006625461,0.05782165,0.00610126,3.38E-03
0.006739693,0.058329772,-0.006071338,3.44E-03
0.006853925,0.056182455,-0.018254237,3.49E-03
0.006968157,0.051468931,-0.029787993,3.54E-03
0.007082389,0.044344861,-0.040123627,3.58E-03
0.007196622,0.035099767,-0.048759472,3.61E-03
0.007310854,0.024171025,-0.055180844,3.63E-03
0.007425086,0.011986768,-0.059225291,3.65E-03
0.007539318,-0.000889586,-0.060573045,3.67E-03
0.00765355,-0.01386876,-0.059115004,3.69E-03
0.007767782,-0.026347743,-0.054869849,3.70E-03
0.007882014,-0.037737288,-0.047984392,3.73E-03
0.007996246,-0.047489382,-0.038727775,3.76E-03
0.008110478,-0.055120889,-0.027480591,3.79E-03
0.00822471,-0.060236361,-0.01471943,3.85E-03
0.008338942,-0.06254603,-0.000996763,3.91E-03
0.008453174,-0.061879069,0.01308204,4.00E-03
0.008567406,-0.058193546,0.026883269,4.11E-03
0.008681638,-0.051579494,0.0397719,4.24E-03
0.00879587,-0.042258587,0.051138256,4.40E-03
0.008910103,-0.030577075,0.060424086,4.59E-03
0.009024335,-0.016995031,0.067147784,4.80E-03
0.009138567,-0.001949097,0.071061909,5.05E-03
0.009252799,0.013707692,0.07161051,5.32E-03
0.009367031,0.029381592,0.06881845,5.60E-03
0.009481263,0.044361256,0.062703356,5.90E-03
0.009595495,0.057942029,0.053433627,6.21E-03
0.009709727,0.069457755,0.041327447,6.53E-03
0.009823959,0.078313023,0.026846539,6.85E-03
0.009938191,0.084009685,0.010587476,7.17E-03
0.010052423,0.086152636,-0.006749958,7.47E-03
0.010166656,0.084510155,-0.024427982,7.74E-03
0.010280888,0.079014897,-0.041494042,7.97E-03
0.01039512,0.069904938,-0.057381999,8.18E-03
0.010509352,0.057396419,-0.071158461,8.36E-03
0.010623584,0.041953296,-0.082085058,8.50E-03
0.010737816,0.024197603,-0.089524888,8.60E-03
0.010852048,0.004886952,-0.092974253,8.67E-03
0.01096628,-0.015113797,-0.092090674,8.71E-03
0.011080512,-0.034867503,-0.086713873,8.74E-03
0.011194744,-0.053402558,-0.076879986,8.76E-03
0.011308976,-0.069753438,-0.062827654,8.81E-03
0.011423208,-0.083001696,-0.044995766,8.91E-03
0.011537441,-0.092315935,-0.024012985,9.10E-03
0.011651673,-0.096990123,-0.000680491,9.41E-03
0.011765905,-0.096475765,0.024053639,9.89E-03
0.011880137,-0.090411887,0.049125489,1.06E-02
0.011994369,-0.078647412,0.073390931,1.16E-02
0.012108601,-0.061256066,0.095666528,1.29E-02
0.012222833,-0.038545944,0.114772767,1.47E-02
0.012337065,-0.01105911,0.129578412,1.69E-02
0.012451297,0.020436658,0.139046431,1.98E-02
0.012565529,0.055316661,0.142437398,2.33E-02
0.012679761,0.09174002,0.138644859,2.76E-02
0.012793993,0.128701463,0.127380759,3.28E-02
0.012908226,0.164773643,0.108389683,3.89E-02
0.013022458,0.198463604,0.08168716,4.61E-02
0.01313669,0.227934003,0.047800597,5.42E-02
0.013250922,0.252438903,0.006925732,6.38E-02
0.013365154,0.270238459,-0.039930835,7.46E-02
0.013479386,0.280114532,-0.091652483,8.69E-02
0.013593618,0.281050771,-0.146889523,1.01E-01
0.01370785,0.27227357,-0.20409739,1.16E-01
0.013822082,0.25328657,-0.261585206,1.33E-01
0.013936314,0.223895907,-0.317569196,1.51E-01
0.014050546,0.184225827,-0.370231003,1.71E-01
0.014164778,0.134720266,-0.41777575,1.93E-01
0.014279011,0.076134458,-0.458489805,2.16E-01
0.014393243,0.009514166,-0.490795344,2.41E-01
0.014507475,-0.063834131,-0.51329869,2.68E-01
0.014621707,-0.142381325,-0.524829984,2.96E-01
0.014735939,-0.224416643,-0.524472713,3.25E-01
0.014850171,-0.308089644,-0.511588097,3.57E-01
0.014964403,-0.391454488,-0.485833496,3.89E-01
0.015078635,-0.472518563,-0.447176009,4.23E-01
0.015192867,-0.549291253,-0.395895749,4.58E-01
0.015307099,-0.619832993,-0.332582235,4.95E-01
0.015421331,-0.682302356,-0.258125246,5.32E-01
0.015535563,-0.73499763,-0.173697829,5.70E-01
0.015649796,-0.77639544,-0.080734558,6.09E-01
0.015764028,-0.805177987,0.01909834,6.49E-01
0.01587826,-0.820258319,0.123952836,6.88E-01
0.015992492,-0.820825756,0.231867492,7.28E-01
0.016106724,-0.80641979,0.34079957,7.66E-01
0.016220956,-0.776948512,0.448610485,8.05E-01
0.016335188,-0.732642293,0.553104103,8.43E-01
0.01644942,-0.674038827,0.652115226,8.80E-01
0.016563652,-0.601988256,0.743580282,9.15E-01
0.016677884,-0.517648458,0.82559073,9.50E-01
0.016792116,-0.422460914,0.89643997,9.82E-01
0.016906348,-0.31811738,0.954669893,1.01E+00
0.01702058,-0.206515163,0.999106884,1.04E+00
0.017134812,-0.089703828,1.02889431,1.07E+00
0.017249044,0.030171176,1.04351294,1.09E+00
0.017363276,0.150929928,1.04278946,1.11E+00
0.017477508,0.270419478,1.02689445,1.13E+00
0.01759174,0.386573046,0.99632746,1.14E+00
0.017705974,0.497464478,0.951889992,1.15E+00
0.017820206,0.601356566,0.894651473,1.16E+00
0.017934438,0.696739554,0.825904667,1.17E+00
0.01804867,0.782359183,0.747114062,1.17E+00
0.018162902,0.857238472,0.659866571,1.17E+00
0.018277134,0.92068696,0.565816998,1.17E+00
0.018391366,0.972308695,0.466646433,1.16E+00
0.018505598,1.01197946,0.364045769,1.16E+00
0.01861983,1.03976882,0.259659678,1.15E+00
0.018734062,1.05594766,0.15497081,1.14E+00
0.018848294,1.06103206,0.051300697,1.13E+00
0.018962526,1.05577314,-0.050182663,1.12E+00
0.019076758,1.04126656,-0.148474231,1.11E+00
0.01919099,1.01986134,-0.242217302,1.10E+00
0.019305222,0.987820983,-0.322937608,1.08E+00
0.019419454,0.943695486,-0.40662843,1.06E+00
0.019533686,0.896504402,-0.48471272,1.04E+00
0.019647918,0.844604492,-0.556326985,1.02E+00
0.01976215,0.788429797,-0.621518552,1.01E+00
0.019876382,0.728646338,-0.68035388,9.94E-01
0.019990614,0.665914834,-0.732947946,9.81E-01
