Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.028954865,7.96E-05,8.38E-04
7.37E-05,0.028755123,-0.003253424,8.37E-04
0.000147419,0.028137608,-0.006535391,8.34E-04
0.000221128,0.02711153,-0.009714562,8.29E-04
0.000294837,0.025692806,-0.012740823,8.22E-04
0.000368546,0.023902962,-0.015566253,8.14E-04
0.000442256,0.02176957,-0.018145917,8.03E-04
0.000515965,0.019325411,-0.0204385,7.91E-04
0.000589674,0.016608205,-0.022406988,7.78E-04
0.000663384,0.013659928,-0.024019126,7.64E-04
0.000737093,0.010526379,-0.025248082,7.48E-04
0.000810802,0.007256368,-0.026072675,7.32E-04
0.000884512,0.003901246,-0.026477883,7.16E-04
0.000958221,0.000513672,-0.026455022,7.00E-04
0.00103193,-0.002852571,-0.026001981,6.84E-04
0.001105639,-0.006143617,-0.025123378,6.69E-04
0.001179349,-0.00930665,-0.023830185,6.54E-04
0.001253058,-0.012290154,-0.022140127,6.41E-04
0.001326767,-0.015044974,-0.020077206,6.29E-04
0.001400477,-0.017525084,-0.017671321,6.19E-04
0.001474186,-0.019688208,-0.014958118,6.11E-04
0.001547895,-0.021496819,-0.011978381,6.06E-04
0.001621605,-0.022918342,-0.008777352,6.02E-04
0.001695314,-0.023926001,-0.005404345,6.02E-04
0.001769023,-0.024499042,-0.001912064,6.04E-04
0.001842732,-0.024623513,0.001644655,6.09E-04
0.001916442,-0.024292301,0.00520868,6.17E-04
0.001990151,-0.023505347,0.008722883,6.29E-04
0.00206386,-0.022269825,0.012129434,6.43E-04
0.00213757,-0.020600118,0.015371834,6.61E-04
0.002211279,-0.018517695,0.018395389,6.81E-04
0.002284988,-0.016050946,0.021148108,7.05E-04
0.002358698,-0.0132349,0.023581464,7.31E-04
0.002432407,-0.010110345,0.025651539,7.60E-04
0.002506116,-0.006724141,0.027319472,7.92E-04
0.002579825,-0.003127651,0.028552536,8.25E-04
0.002653535,0.000623361,0.029324045,8.60E-04
0.002727244,0.004469714,0.029614698,8.97E-04
0.002800953,0.008349726,0.029412726,9.35E-04
0.002874663,0.012200259,0.028714245,9.73E-04
0.002948372,0.015957035,0.027523046,1.01E-03
0.003022081,0.019556139,0.025851162,1.05E-03
0.00309579,0.022934018,0.023718678,1.09E-03
0.0031695,0.026027497,0.021151161,1.12E-03
0.003243209,0.028776109,0.01817131,1.16E-03
0.003316918,0.03152217,0.014693527,1.21E-03
0.003390628,0.033433091,0.011146522,1.24E-03
0.003464337,0.03486795,0.007246524,1.27E-03
0.003538046,0.035821598,0.00316456,1.29E-03
0.003611756,0.036252689,-0.001037547,1.32E-03
0.003685465,0.03614061,-0.005291878,1.33E-03
0.003759174,0.035472844,-0.009528165,1.35E-03
0.003832883,0.034271088,-0.013631695,1.36E-03
0.003906593,0.032548819,-0.017617255,1.37E-03
0.003980302,0.030301841,-0.021378541,1.38E-03
0.004054011,0.027560284,-0.024845427,1.38E-03
0.004127721,0.024362072,-0.02795212,1.37E-03
0.00420143,0.020752966,-0.030638021,1.37E-03
0.004275139,0.016786937,-0.032847893,1.36E-03
0.004348849,0.01252505,-0.03453356,1.35E-03
0.004422558,0.008034845,-0.035654668,1.34E-03
0.004496267,0.003389238,-0.036179282,1.32E-03
0.004569976,-0.001334152,-0.036084663,1.30E-03
0.004643686,-0.006054742,-0.035358299,1.29E-03
0.004717395,-0.010689666,-0.033997819,1.27E-03
0.004791104,-0.01515568,-0.032011669,1.25E-03
0.004864814,-0.019369654,-0.029419214,1.24E-03
0.004938523,-0.023251135,-0.026250625,1.23E-03
0.005012232,-0.026722956,-0.022546753,1.22E-03
0.005085941,-0.029712653,-0.018358633,1.22E-03
0.005159651,-0.032154441,-0.013747359,1.22E-03
0.00523336,-0.033989623,-0.008782617,1.23E-03
0.005307069,-0.035168722,-0.00354233,1.25E-03
0.005380779,-0.035652071,0.001888648,1.27E-03
0.005454488,-0.035410836,0.007419857,1.31E-03
0.005528197,-0.034427837,0.012956421,1.35E-03
0.005601907,-0.032698534,0.01840058,1.41E-03
0.005675616,-0.030231142,0.023653613,1.47E-03
0.005749325,-0.02704674,0.02861711,1.55E-03
0.005823034,-0.023179911,0.033194929,1.64E-03
0.005896744,-0.018677929,0.037294973,1.74E-03
0.005970453,-0.013600568,0.040830646,1.85E-03
0.006044162,-0.008019404,0.043722957,1.98E-03
0.006117872,-0.002017235,0.045901753,2.11E-03
0.006191581,0.004313826,0.047307335,2.26E-03
0.00626529,0.010872497,0.047891751,2.41E-03
0.006338999,0.017551104,0.047619749,2.58E-03
0.006412709,0.024236966,0.046469502,2.75E-03
0.006486418,0.030815071,0.04443302,2.92E-03
0.006560127,0.03717475,0.041518979,3.11E-03
0.006633837,0.043633804,0.03776598,3.33E-03
0.006707546,0.049172685,0.0332473,3.52E-03
0.006781255,0.054095142,0.027955001,3.71E-03
0.006854965,0.058354382,0.021951549,3.89E-03
0.006928674,0.061861511,0.015354959,4.06E-03
0.007002383,0.064523526,0.008272564,4.23E-03
0.007076092,0.066264525,0.000816295,4.39E-03
0.007149802,0.06702558,-0.006892197,4.54E-03
0.007223511,0.066763789,-0.014722682,4.67E-03
0.00729722,0.065453507,-0.022538014,4.79E-03
