Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.061633635,0,0.003798705
0.000112432,0.060368855,-0.012449562,0.00379939
0.000224864,0.056625139,-0.024392588,0.003801405
0.000337296,0.05055359,-0.03534288,0.003804785
0.000449728,0.042399056,-0.044853844,0.003809547
0.000562159,0.032490559,-0.052536409,0.003815711
0.000674591,0.021228505,-0.058074549,0.003823303
0.000787023,0.009068448,-0.061238363,0.003832374
0.000899455,-0.003496816,-0.061892815,0.003842948
0.001011887,-0.015956702,-0.060003877,0.003855082
0.001124319,-0.027803319,-0.055639707,0.003868801
0.001236751,-0.038551722,-0.048968718,0.003884171
0.001349183,-0.047759123,-0.040252801,0.003901222
0.001461615,-0.055042829,-0.029837586,0.003919995
0.001574047,-0.060095932,-0.018139133,0.003940549
0.001686478,-0.062699564,-0.005627349,0.003962902
0.00179891,-0.062732592,0.007191899,0.003987102
0.001911342,-0.060176827,0.019797264,0.004013182
0.002023774,-0.055118557,0.031671748,0.004041155
0.002136206,-0.047746126,0.04232467,0.00407107
0.002248638,-0.03834286,0.051310115,0.004102903
0.00236107,-0.027277134,0.058246687,0.004136719
0.002473502,-0.014987862,0.06283202,0.004172499
0.002585934,-0.001967922,0.064856723,0.004210267
0.002698366,0.011255379,0.064213388,0.004250043
0.002810797,0.024140988,0.060901925,0.004291832
0.002923229,0.03615604,0.05503092,0.004335661
0.003035661,0.046797358,0.046814337,0.004381575
0.003148093,0.05561227,0.036563102,0.004429585
0.003260525,0.062221363,0.024670072,0.00448011
0.003372957,0.06634827,0.011694477,0.004538854
0.003485389,0.067699976,-0.002024516,0.004587385
0.003597821,0.066289216,-0.015800888,0.004643928
0.003710253,0.062103849,-0.029090945,0.004703171
0.003822684,0.055278864,-0.041343171,0.004765011
0.003935116,0.046059575,-0.052038763,0.004829517
0.004047548,0.034792636,-0.060714942,0.004896832
0.00415998,0.021913376,-0.0669844,0.004967106
0.004272412,0.007929346,-0.070552528,0.005040534
0.004384844,-0.006599468,-0.071230091,0.005117279
0.004497276,-0.021081412,-0.068942942,0.005197555
0.004609708,-0.034917548,-0.063736528,0.00528158
0.00472214,-0.047524657,-0.055776265,0.005369585
0.004834572,-0.05835966,-0.045342971,0.005461835
0.004947003,-0.066941641,-0.032823306,0.005558553
0.005059435,-0.072872847,-0.018696627,0.005660016
0.005171867,-0.075855829,-0.003517577,0.00576648
0.005284299,-0.075707898,0.012104874,0.005878214
0.005396731,-0.072370805,0.027531123,0.005995496
0.005509163,-0.06591592,0.042114977,0.00611858
0.005621595,-0.056544308,0.055231314,0.006247757
0.005734027,-0.044581793,0.066300362,0.006383274
0.005846459,-0.030468611,0.074813657,0.006525419
0.00595889,-0.014744383,0.080355592,0.006674418
0.006071322,0.001971517,0.082623899,0.006830596
0.006183754,0.019003335,0.081443772,0.006994215
0.006296186,0.035645582,0.076779455,0.007165692
0.006408618,0.051191978,0.068738245,0.007345565
0.00652105,0.064967856,0.057571977,0.007535355
0.006633482,0.076366432,0.043689143,0.007740573
0.006745914,0.084756523,0.027648905,0.00794813
0.006858346,0.089742445,0.009913178,0.008151977
0.006970777,0.091082126,-0.008727731,0.008372127
0.007083209,0.088422224,-0.027190222,0.008557798
0.007195641,0.082156815,-0.045290325,0.008800956
0.007308073,0.072209656,-0.061980072,0.009055764
0.007420505,0.058890302,-0.076516412,0.009322829
0.007532937,0.042657577,-0.088223167,0.009602996
0.007645369,0.024104644,-0.096520774,0.009897294
0.007757801,0.003938505,-0.100952655,0.01020695
0.007870233,-0.017044775,-0.101207055,0.010533392
0.007982665,-0.037990298,-0.097134054,0.010878287
0.008095096,-0.058016192,-0.088756315,0.011243562
0.008207528,-0.076247878,-0.076274112,0.011631479
0.00831996,-0.091853589,-0.060062181,0.012044547
0.008432392,-0.104078457,-0.040661726,0.012485701
0.008544824,-0.112277143,-0.018764719,0.012958272
0.008657256,-0.115943566,0.004808477,0.013466032
0.008769687,-0.114735857,0.029136041,0.014013226
0.008882119,-0.10849674,0.053226836,0.014604639
0.008994551,-0.097267121,0.07605774,0.015245673
0.009106983,-0.081292927,0.096611269,0.015942277
0.009219415,-0.061024547,0.113917455,0.016701182
0.009331847,-0.037107814,0.127093717,0.017529803
0.009444279,-0.010367327,0.1353845,0.018436444
0.009556711,0.018217865,0.138197541,0.019430451
0.009669143,0.04754629,0.135135293,0.020522197
0.009781575,0.076431692,0.126021862,0.021723313
0.009894006,0.103642717,0.110920496,0.023045169
0.010006438,0.127946168,0.090135291,0.024494593
0.01011887,0.148170516,0.064198427,0.02607594
0.010231302,0.163272172,0.033883613,0.027805901
0.010343734,0.17235516,0.000197746,0.02970634
0.010456166,0.17470777,-0.035669111,0.03179509
0.010568598,0.169849172,-0.072386637,0.034088566
0.01068103,0.157560214,-0.108527929,0.036603532
0.010793462,0.13790369,-0.142620072,0.039357913
0.010905893,0.111231789,-0.173199475,0.042370569
0.011018325,0.078183435,-0.198868215,0.045661216
0.011130757,0.03967062,-0.218350276,0.049250601
0.011243189,-0.003146539,-0.230543762,0.053160327
0.011355621,-0.048894972,-0.23456803,0.057412879
0.011468053,-0.096031316,-0.229803503,0.062031664
0.011580485,-0.142893106,-0.215922192,0.067040833
0.011692917,-0.187754214,-0.192909062,0.072465551
0.011805349,-0.228883266,-0.161071897,0.078331705
0.01191778,-0.264604449,-0.121040791,0.084666388
0.012030212,-0.293355495,-0.073755823,0.091497368
0.012142644,-0.313744426,-0.020444775,0.098853554
0.012255076,-0.324599892,0.037409537,0.106764563
0.012367508,-0.325015157,0.098109581,0.115260342
0.01247994,-0.314382493,0.159790158,0.124369246
0.012592372,-0.292422861,0.2204687,0.134117577
0.012704804,-0.259205431,0.278101802,0.144528068
0.012817236,-0.215160951,0.330648065,0.155622378
0.012929667,-0.161083683,0.376132548,0.167423647
0.013042099,-0.098123021,0.412710011,0.179957681
0.013154531,-0.027764259,0.438726485,0.193251783
0.013266963,0.04820621,0.452775896,0.207329851
0.013379395,0.12774232,0.453755349,0.222212017
0.013491827,0.208591402,0.440911323,0.237913168
0.013604259,0.288354009,0.413879663,0.25444441
0.013716691,0.364550412,0.372713119,0.271812072
0.013829123,0.434693694,0.317898393,0.290017996
0.013941554,0.496366382,0.250359893,0.309059661
0.014053986,0.547296941,0.171450078,0.328929071
0.014166418,0.585437536,0.082925491,0.349613746
0.01427885,0.609035254,-0.013090869,0.371095311
0.014391282,0.616699517,-0.114160836,0.393350991
0.014503714,0.607457876,-0.217594653,0.416352504
0.014616146,0.580802083,-0.32052511,0.440067406
0.014728578,0.53671968,-0.419990152,0.464459743
0.01484101,0.475711197,-0.513022125,0.489492844
0.014953441,0.398789793,-0.596739411,0.515131224
0.015065873,0.307466924,-0.668438196,0.541345531
0.015178305,0.203720629,-0.725677788,0.568110347
0.015290737,0.089945115,-0.766359031,0.595396288
0.015403169,-0.031118991,-0.788797677,0.623170167
0.015515601,-0.156466007,-0.791793942,0.651419258
0.015628033,-0.282913774,-0.774700522,0.680201102
0.015740465,-0.407197922,-0.737532735,0.709764683
0.015852897,-0.525831699,-0.681361616,0.740752627
0.015965329,-0.632729888,-0.60665518,0.768377619
0.01607776,-0.728559792,-0.511075854,0.791997899
0.016190192,-0.81100589,-0.400687546,0.818281063
0.016302624,-0.876373351,-0.27766186,0.845126359
0.016415056,-0.922506034,-0.144573525,0.871918887
0.016527488,-0.947842836,-0.004460669,0.898425939
0.01663992,-0.951360345,0.139365152,0.924509152
0.016752352,-0.932590842,0.283437163,0.950062304
0.016864784,-0.891633749,0.424239725,0.974990087
