Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.027211269,0,0.000740453
7.62E-05,0.026621295,-0.005682835,0.000740988
0.000152487,0.024873633,-0.011130344,0.000742582
0.00022873,0.022034582,-0.016114442,0.000745198
0.000304973,0.018213159,-0.020421481,0.000748756
0.000381217,0.013559571,-0.023860114,0.000753167
0.00045746,0.008261733,-0.026268775,0.000758305
0.000533704,0.002540455,-0.027524162,0.000764033
0.000609947,-0.003357767,-0.027548239,0.00077018
0.00068619,-0.009169034,-0.026315495,0.000776576
0.000762434,-0.014623877,-0.023857389,0.000783033
0.000838677,-0.019460075,-0.020265091,0.000789368
0.00091492,-0.02343636,-0.01568839,0.000795389
0.000991164,-0.026347823,-0.01033139,0.000800945
0.001067407,-0.028038574,-0.004443278,0.000805904
0.00114365,-0.02841272,0.001694157,0.000810153
0.001219894,-0.027442215,0.007781975,0.000813634
0.001296137,-0.025169363,0.01352186,0.000816338
0.001372381,-0.021704385,0.018633595,0.000818291
0.001448624,-0.01721872,0.022871148,0.000819574
0.001524867,-0.011933619,0.026036393,0.000820305
0.001601111,-0.006106282,0.027988529,0.000820644
0.001677354,-1.45E-05,0.028649095,0.000820771
0.001753597,0.006058834,0.028002894,0.000820872
0.001829841,0.011839937,0.026095385,0.000821153
0.001906084,0.017075975,0.023027036,0.000821833
0.001982327,0.021545056,0.018944683,0.00082309
0.002058571,0.025063457,0.014033697,0.000825122
0.002134814,0.027490066,0.008507981,0.000828089
0.002211058,0.028729131,0.002601167,0.000832129
0.002287301,0.028731408,-0.003440725,0.000837332
0.002363544,0.027487775,-0.009383939,0.000843636
0.002439788,0.025062671,-0.014958687,0.0008519
0.002516031,0.02152317,-0.01994969,0.000861237
0.002592274,0.017005378,-0.02414076,0.000871959
0.002668518,0.011679863,-0.02734275,0.000884045
0.002744761,0.005753044,-0.029399175,0.000897409
0.002821004,-0.000536975,-0.030193755,0.000911951
0.002897248,-0.006926975,-0.029656977,0.000927519
0.002973491,-0.013137137,-0.027773207,0.000943935
0.003049735,-0.018881742,-0.024585711,0.000960977
0.003125978,-0.023882331,-0.020200232,0.000978415
0.003202221,-0.027881688,-0.014784614,0.000995973
0.003278465,-0.030659683,-0.008565924,0.001013391
0.003354708,-0.032048039,-0.001821849,0.001030396
0.003430951,-0.031943847,0.005131369,0.00104674
0.003507195,-0.030319445,0.011955885,0.001062212
0.003583438,-0.02722734,0.018311424,0.001076636
