Frequency (GHz),Re( S21 ),Im( S21 ),S2
0,0.020843538,0,0.000434453
8.92E-05,0.020533567,-0.00359467,0.000434549
0.000178374,0.019612249,-0.007085765,0.000434848
0.000267561,0.018104205,-0.010372235,0.000435345
0.000356748,0.016049832,-0.013357732,0.000436026
0.000445935,0.013505524,-0.015952809,0.000436891
0.000535121,0.010542066,-0.01807775,0.00043794
0.000624308,0.00724276,-0.019664411,0.000439147
0.000713495,0.003703072,-0.020659128,0.000440512
0.000802682,2.72E-05,-0.021024125,0.000442015
0.000891869,-0.003673924,-0.02074006,0.000443648
0.000981056,-0.007285817,-0.019806804,0.000445393
0.001070243,-0.010693898,-0.01824481,0.000447233
0.00115943,-0.013787493,-0.016095299,0.000449154
0.001248617,-0.016463768,-0.013419528,0.000451139
0.001337804,-0.018631412,-0.010297526,0.000453169
0.001426991,-0.020214912,-0.006825923,0.000455236
0.001516177,-0.021157095,-0.003115122,0.000457327
0.001605364,-0.021422176,0.000715326,0.000459421
0.001694551,-0.020997843,0.004540654,0.000461527
0.001783738,-0.019894965,0.008235023,0.000463625
0.001872925,-0.018148253,0.011677267,0.000465718
0.001962112,-0.015814392,0.01475506,0.000467807
0.002051299,-0.01296964,0.017369265,0.000469903
0.002140486,-0.009706929,0.019436564,0.000472005
0.002229673,-0.006132232,0.020893464,0.000474141
0.00231886,-0.002359918,0.021696769,0.000476319
0.002408047,0.001491031,0.021825284,0.000478566
0.002497234,0.005301107,0.021278841,0.000480891
0.00258642,0.008954355,0.020078499,0.000483327
0.002675607,0.012341415,0.018264396,0.000485899
0.002764794,0.015362722,0.015893873,0.000488628
0.002853981,0.017930783,0.013039202,0.000491534
0.002943168,0.019972267,0.009785461,0.000494647
0.003032355,0.021428879,0.006227202,0.000497975
0.003121542,0.02225915,0.002466812,0.000501555
0.003210729,0.022438726,-0.001388683,0.000505425
0.003299916,0.021963112,-0.005224193,0.00050967
0.003389103,0.020807974,-0.008949079,0.000513058
0.00347829,0.019059466,-0.012443193,0.000518096
0.003567476,0.016724598,-0.015602562,0.000523152
0.003656663,0.01386663,-0.018335901,0.000528489
0.00374585,0.010560328,-0.020557869,0.000534147
0.003835037,0.006893614,-0.022194734,0.000540128
0.003924224,0.002967004,-0.02318739,0.000546458
0.004013411,-0.001108785,-0.0234924,0.000553122
0.004102598,-0.005215124,-0.023085173,0.000560123
0.004191785,-0.009227876,-0.021960961,0.000567437
0.004280972,-0.013021499,-0.020136999,0.000575058
0.004370159,-0.016472226,-0.017652925,0.00058296
0.004459346,-0.019462977,-0.014570785,0.000591115
0.004548533,-0.021887407,-0.010974858,0.000599506
0.004637719,-0.023654034,-0.00696894,0.000608079
0.004726906,-0.02469117,-0.002674524,0.000616807
0.004816093,-0.024949968,0.001773461,0.000625646
0.00490528,-0.024407728,0.006231217,0.000634565
0.004994467,-0.023069067,0.010551394,0.000643514
0.005083654,-0.020967137,0.014588977,0.000652459
0.005172841,-0.018162631,0.018206935,0.000661374
0.005262028,-0.014741403,0.021281924,0.000670229
0.005351215,-0.010811174,0.02370912,0.000679004
0.005440402,-0.006497923,0.025406063,0.000687691
0.005529589,-0.001939445,0.026315808,0.000696283
0.005618775,0.002718949,0.026408292,0.000704791
0.005707962,0.007330013,0.025680628,0.000713224
0.005797149,0.011750401,0.024156515,0.000721609
0.005886336,0.015844647,0.021884309,0.000729976
0.005975523,0.019489978,0.018934386,0.00073837
0.00606471,0.022578599,0.015396171,0.000746835
0.006153897,0.025020596,0.011374489,0.000755409
0.006243084,0.02674615,0.006986177,0.000764163
0.006332271,0.027705429,0.002356366,0.000773143
0.006421458,0.027870011,-0.002384733,0.000782424
0.006510645,0.027231542,-0.00710522,0.000792041
0.006599831,0.025802009,-0.011674739,0.000802043
0.006689018,0.023614196,-0.01597088,0.000812699
0.006778205,0.020729939,-0.019867081,0.000824431
0.006867392,0.017205352,-0.023246134,0.000836407
0.006956579,0.01312779,-0.026013615,0.000849047
0.007045766,0.008600212,-0.028081127,0.000862513
0.007134953,0.003737822,-0.029375158,0.000876871
0.00722414,-0.001331778,-0.029839961,0.000892197
0.007313327,-0.006471309,-0.02943928,0.000908549
0.007402514,-0.01153619,-0.028158531,0.000925987
0.0074917,-0.016377112,-0.026006654,0.000944556
0.007580887,-0.020844342,-0.023017732,0.000964303
0.007670074,-0.024791401,-0.019251499,0.000985234
0.007759261,-0.02808019,-0.014794794,0.001007383
0.007848448,-0.030585641,-0.009759859,0.001030736
0.007937635,-0.03220126,-0.004283104,0.001055266
0.008026822,-0.032844201,0.001477266,0.001080924
0.008116009,-0.032460425,0.007346336,0.001107648
0.008205196,-0.031028245,0.013137307,0.001135341
0.008294383,-0.028561687,0.018657837,0.001163885
0.00838357,-0.025112076,0.023718236,0.001193171
0.008472756,-0.020767255,0.028138377,0.001223047
0.008561943,-0.015649732,0.031755965,0.001253355
0.00865113,-0.009913035,0.034433737,0.001283951
0.008740317,-0.003735488,0.036065336,0.001314662
0.008829504,0.002686482,0.036580592,0.001345357
0.008918691,0.009145968,0.03594771,0.001375887
0.009007878,0.01543426,0.034174897,0.00140614
0.009097065,0.021348748,0.031309061,0.001436026
0.009186251,0.026699767,0.027433462,0.001465472
0.009275438,0.031318046,0.022663495,0.001494454
0.009364625,0.035058692,0.017141448,0.001522941
0.009453812,0.037805758,0.011031444,0.001550968
0.009542999,0.03947461,0.00451267,0.001578609
0.009632186,0.040012144,-0.002226337,0.001605928
0.009721373,0.039398033,-0.008993033,0.00163308
0.00981056,0.037642974,-0.015596929,0.001660258
0.009899747,0.034787837,-0.021853974,0.00168779
0.009988934,0.030904282,-0.027591446,0.001716363
0.010078121,0.026096227,-0.0326453,0.001746729
0.010167307,0.020480316,-0.036850497,0.001777402
0.010256494,0.014173208,-0.040082894,0.001807518
0.010345681,0.007334062,-0.042250752,0.001838915
0.010434868,0.000141104,-0.04327172,0.001872462
0.010524055,-0.007219077,-0.043086495,0.001908561
0.010613242,-0.014551477,-0.041663472,0.00194759
0.010702429,-0.021654798,-0.039000753,0.001989989
0.010791616,-0.028324792,-0.035127763,0.002036254
0.010880803,-0.034358252,-0.030106347,0.002086882
0.01096999,-0.039558705,-0.02403196,0.002142426
0.011059177,-0.043740865,-0.017034091,0.002203424
0.011148363,-0.046737295,-0.009275809,0.002270415
0.01123755,-0.048404925,-0.00095207,0.002343943
0.011326737,-0.048631221,0.007712954,0.002424485
0.011415924,-0.047340974,0.016471053,0.002512463
0.011505111,-0.044502597,0.025055327,0.002608251
0.011594298,-0.04013228,0.033188462,0.002712074
0.011683485,-0.034298033,0.040591985,0.002824064
0.011772672,-0.027121391,0.046996202,0.002944213
0.011861859,-0.018775767,0.052151565,0.003072315
0.011951046,-0.00948358,0.055839848,0.003208027
0.012040233,0.000489456,0.057884332,0.003350835
0.012129419,0.010843938,0.058158819,0.003500039
0.012218606,0.021256255,0.056594931,0.003654815
0.012307793,0.031391364,0.053185809,0.003814148
0.01239698,0.040915519,0.047988638,0.003976989
0.012486167,0.049508683,0.041122571,0.004142176
0.012575354,0.056876954,0.032764506,0.004308501
0.012664541,0.062762775,0.023142757,0.004474753
0.012753728,0.066954106,0.012528419,0.004639814
0.012842915,0.069289863,0.001225637,0.004802587
0.012932102,0.069665089,-0.010438743,0.004962192
0.013021289,0.068032183,-0.022125706,0.005117925
0.013110475,0.064400971,-0.033494197,0.005269346
0.013199662,0.058838476,-0.044209823,0.005416475
0.013288849,0.051465571,-0.053953353,0.005559669
0.013378036,0.042454474,-0.062424056,0.005699145
0.013467223,0.032019492,-0.069342375,0.005833613
0.01355641,0.020401012,-0.074463166,0.005960964
0.013645597,0.007872984,-0.077595346,0.006083022
0.013734784,-0.005247074,-0.078592531,0.006204318
0.013823971,-0.018613581,-0.077346489,0.006328945
0.013913158,-0.031863038,-0.073794313,0.006460854
0.014002345,-0.044620246,-0.06792406,0.006604644
0.014091531,-0.056502059,-0.059779245,0.006766041
0.014180718,-0.067123853,-0.04946094,0.006951996
0.014269905,-0.076107025,-0.037130654,0.007170965
0.014359092,-0.083086982,-0.023012204,0.007433008
0.014448279,-0.087723099,-0.007392371,0.007749989
0.014537466,-0.089709498,0.009379337,0.008135766
0.014626653,-0.088786133,0.026893102,0.008606216
0.01471584,-0.084751621,0.044684071,0.009179503
0.014805027,-0.077474661,0.062238477,0.009875951
0.014894214,-0.06690608,0.07900472,0.010718169
0.0149834,-0.053088818,0.094406202,0.011730954
0.015072587,-0.036166042,0.107857071,0.01294113
0.015161774,-0.016386367,0.118780889,0.014377413
0.015250961,0.005895385,0.126630604,0.016070065
0.015340148,0.030220913,0.130909458,0.01805059
0.015429335,0.056036335,0.131192714,0.020351599
0.015518522,0.08270523,0.12714611,0.023006288
0.015607709,0.109524831,0.118542492,0.026048011
0.015696896,0.135747448,0.105275296,0.029510258
0.015786083,0.160603151,0.087365575,0.033426116
0.01587527,0.18332389,0.064965546,0.037828171
0.015964456,0.203168422,0.038355462,0.042748549
0.016053643,0.219444528,0.007936783,0.048218893
0.01614283,0.231528908,-0.025780387,0.054270264
0.016232017,0.238884285,-0.06219184,0.060933527
0.016321204,0.241071135,-0.100616127,0.068238897
0.016410391,0.237756506,-0.140314564,0.076216333
0.016499578,0.228717998,-0.180507958,0.084895046
0.016588765,0.213844106,-0.220395759,0.094303592
0.016677952,0.193133533,-0.259173214,0.104471316
0.016767139,0.166690975,-0.296045244,0.115428668
0.016856326,0.134723663,-0.330239356,0.127208498
0.016945512,0.097537249,-0.361014664,0.139845103
0.0170347,0.055533014,-0.387671143,0.153372831
0.017123886,0.009219614,-0.409568578,0.167831421
