Frequency (GHz),Re( S31 ),Im( S31 ),S2
0,0.006218169,7.01E-06,3.87E-05
0.000158574,0.004268257,-0.003598626,3.12E-05
0.000317148,0.00026996,-0.00395523,1.57E-05
0.000475722,-0.002241619,-0.000951753,5.93E-06
0.000634296,-0.001291548,0.002808994,9.56E-06
0.00079287,0.002365481,0.004281419,2.39E-05
0.000951444,0.005774123,0.00210165,3.78E-05
0.001110018,0.005853381,-0.002124424,3.88E-05
0.001268592,0.002330367,-0.004465185,2.54E-05
0.001427166,-0.001487094,-0.002793353,1.00E-05
0.00158574,-0.002218891,0.00119228,6.35E-06
0.001744314,0.000519588,0.004044878,1.66E-05
0.001902888,0.004418822,0.003580399,3.23E-05
0.002061462,0.006446572,0.000120876,4.16E-05
0.002220036,0.004749503,-0.003674785,3.61E-05
0.00237861,0.000431895,-0.004363989,1.92E-05
0.002537184,-0.002484618,-0.000876432,6.94E-06
0.002695758,-0.000917324,0.003405831,1.24E-05
0.002854332,0.003377772,0.00425743,2.95E-05
0.003012906,0.006294571,0.001375619,4.15E-05
0.00317148,0.005761842,-0.002473202,3.93E-05
0.003330054,0.002406942,-0.004405154,2.52E-05
0.003488628,-0.001399904,-0.002828576,9.96E-06
0.003647202,-0.002481899,0.001685134,9.00E-06
0.003805776,0.001144861,0.005541662,3.20E-05
0.00396435,0.006738972,0.004308365,6.40E-05
0.004122924,0.008558503,-0.001132081,7.45E-05
0.004281498,0.005120609,-0.005315147,5.45E-05
0.004440072,6.26E-05,-0.004881767,2.38E-05
0.004598646,-0.002490359,-0.000661429,6.64E-06
0.00475722,-0.000589323,0.003930335,1.58E-05
0.004915794,0.004320282,0.005077745,4.44E-05
0.005074368,0.008031309,0.001741987,6.75E-05
0.005232942,0.007386727,-0.003028568,6.37E-05
0.005391516,0.003166177,-0.005108579,3.61E-05
0.00555009,-0.001076276,-0.002691632,8.40E-06
0.005708664,-0.001520268,0.002726392,9.74E-06
0.005867238,0.003377958,0.006574771,5.46E-05
0.006025812,0.009793566,0.004222044,1.14E-04
0.006184386,0.010997611,-0.002566906,1.28E-04
0.00634296,0.006091271,-0.006703583,8.20E-05
0.006501534,0.000465006,-0.004887807,2.41E-05
0.006660108,-0.001171467,0.000613517,1.75E-06
0.006818682,0.002374156,0.005303213,3.38E-05
0.006977256,0.008483689,0.005250334,9.95E-05
0.00713583,0.011979751,0.000145039,1.44E-04
0.007294404,0.009513991,-0.005352099,1.19E-04
0.007452978,0.003530806,-0.005863405,4.68E-05
0.007611552,-0.000207427,-0.000518844,3.12E-07
0.007770126,0.002532355,0.006559536,4.94E-05
0.0079287,0.011093732,0.008844072,2.01E-04
0.008087274,0.018674985,0.002509207,3.55E-04
0.008245848,0.017186267,-0.007400024,3.50E-04
0.008404421,0.008225493,-0.010614724,1.80E-04
0.008562995,0.001337633,-0.00447529,2.18E-05
0.008721569,0.002736878,0.005015139,3.26E-05
0.008880143,0.011581051,0.010288731,2.40E-04
0.009038717,0.021998961,0.00695589,5.32E-04
0.009197291,0.025976894,-0.003318528,6.86E-04
0.009355865,0.019470666,-0.011779097,5.18E-04
0.009514439,0.008782635,-0.008913106,1.57E-04
0.009673013,0.006804354,0.004200561,6.39E-05
0.009831587,0.01901537,0.014809237,5.81E-04
0.009990161,0.036730126,0.011617028,1.48E-03
0.010148735,0.045535754,-0.003671467,2.09E-03
0.010307309,0.038892258,-0.018189494,1.84E-03
0.010465883,0.023658544,-0.017950676,8.82E-04
0.010624457,0.01659294,0.000315944,2.75E-04
0.010783031,0.032447308,0.023555303,1.61E-03
0.010941605,0.068658292,0.028712014,5.54E-03
0.011100179,0.100471176,0.004253182,1.01E-02
0.011258753,0.10256321,-0.031723149,1.15E-02
0.011417327,0.078138016,-0.044417698,8.08E-03
0.011575901,0.060884368,-0.013750685,3.90E-03
0.011734475,0.095051155,0.046677627,1.12E-02
0.011893049,0.208935365,0.086030543,5.11E-02
0.012051623,0.381734431,0.031253457,1.47E-01
0.012210197,0.529117227,-0.159723788,3.05E-01
0.012368771,0.554135144,-0.447188318,5.07E-01
0.012527345,0.420250565,-0.734802425,7.17E-01
0.012685919,0.156442747,-0.940626562,9.09E-01
0.012844493,-0.176971003,-1.0133127,1.06E+00
0.013003067,-0.50480628,-0.938941181,1.14E+00
0.013161641,-0.752922714,-0.748921752,1.13E+00
0.013320215,-0.885621667,-0.51706171,1.05E+00
0.013478789,-0.930399895,-0.313078701,9.64E-01
0.013637363,-0.945323586,-0.154794931,9.18E-01
0.013795937,-0.965111673,-0.014130523,9.32E-01
0.013954511,-0.983866572,0.143946737,9.89E-01
0.014113085,-0.970019996,0.327809066,1.05E+00
0.014271659,-0.899082243,0.510819852,1.07E+00
0.014430233,-0.781509459,0.65607518,1.04E+00
0.014588807,-0.652418196,0.752332807,9.92E-01
0.014747381,-0.53715533,0.817940891,9.58E-01
0.014905955,-0.432638854,0.877729714,9.58E-01
0.015064529,-0.320227891,0.941718042,9.89E-01
0.015223103,-0.184633374,0.996030509,1.03E+00
0.015381677,-0.03111892,1.01943064,1.04E+00
0.015540251,0.119186647,1.00563359,1.03E+00
0.015698825,0.249461457,0.967960238,9.99E-01
0.015857399,0.359451115,0.921004832,9.77E-01
0.016015973,0.463131815,0.873131573,9.77E-01
0.016174547,0.568681419,0.818952739,9.94E-01
0.016333121,0.674178898,0.74751097,1.01E+00
0.016491695,0.768870771,0.655240417,1.02E+00
0.016650269,0.844827831,0.550234675,1.02E+00
0.016808842,0.89852798,0.443194419,1.00E+00
0.016967416,0.937840521,0.334843665,9.92E-01
0.01712599,0.96846199,0.227497086,9.90E-01
0.017284564,0.990561664,0.117435209,9.95E-01
0.017443138,1.00106013,0.003050106,1.00E+00
0.017601712,0.998192132,-0.114418335,1.01E+00
0.017760286,0.981958687,-0.22726804,1.02E+00
0.01791886,0.946170509,-0.336036295,1.01E+00
0.018077434,0.899715543,-0.438943446,1.00E+00
0.018236008,0.843572021,-0.533034921,9.96E-01
0.018394582,0.780345619,-0.618632913,9.92E-01
0.018553156,0.710833967,-0.69948113,9.95E-01
0.01871173,0.637210667,-0.775797307,1.01E+00
0.018870304,0.553524613,-0.840050578,1.01E+00
0.019028878,0.456837535,-0.897396445,1.01E+00
0.019187452,0.353759348,-0.939540923,1.01E+00
0.019346026,0.250543326,-0.965906918,9.96E-01
0.0195046,0.151342377,-0.981193781,9.86E-01
0.019663174,0.052639969,-0.995005608,9.93E-01
0.019821748,-0.04180577,-1.00134003,1.00E+00
0.019980322,-0.149139926,-0.996266782,1.01E+00
0.020138896,-0.257951617,-0.975518465,1.02E+00
0.02029747,-0.360235542,-0.937317014,1.01E+00
0.020456044,-0.449926734,-0.888306797,9.92E-01
0.020614618,-0.532919228,-0.837652445,9.86E-01
0.020773192,-0.604479253,-0.798266768,1.00E+00
0.020931766,-0.684922278,-0.732182741,1.01E+00
0.02109034,-0.762851477,-0.660641432,1.02E+00
0.021248914,-0.829907775,-0.574436963,1.02E+00
0.021407488,-0.879247069,-0.480949402,1.00E+00
0.021566062,-0.912870288,-0.389975965,9.85E-01
0.021724636,-0.948207557,-0.301618904,9.90E-01
0.02188321,-0.971502781,-0.222393855,9.93E-01
0.022041784,-0.996470571,-0.127386168,1.01E+00
0.022200358,-1.00965524,-0.023155946,1.02E+00
0.022358932,-1.00416803,0.083335146,1.02E+00
0.022517506,-0.982228756,0.181997225,9.98E-01
0.02267608,-0.952562153,0.268425524,9.79E-01
0.022834654,-0.929797113,0.349994719,9.87E-01
0.022993228,-0.898261786,0.436524749,9.97E-01
0.023151802,-0.857716382,0.52602154,1.01E+00
0.023310376,-0.801415265,0.613054276,1.02E+00
0.02346895,-0.731471479,0.688414574,1.01E+00
0.023627524,-0.656650186,0.748219192,9.91E-01
0.023786098,-0.590396047,0.798051655,9.85E-01
0.023944672,-0.515906453,0.851024151,9.90E-01
0.024103246,-0.438085496,0.900006533,1.00E+00
0.02426182,-0.350182503,0.943510532,1.01E+00
0.024420394,-0.253864169,0.973997533,1.01E+00
0.024578968,-0.156798974,0.988437057,1.00E+00
0.024737542,-0.067814164,0.990652502,9.86E-01
0.024896116,0.020730292,0.995271742,9.91E-01
0.02505469,0.109626323,0.991477787,9.95E-01
0.025213264,0.201714098,0.98167938,1.00E+00
0.025371838,0.296100557,0.960370362,1.01E+00
0.025530412,0.386945426,0.92552799,1.01E+00
0.025688986,0.468268245,0.880791008,9.95E-01
0.02584756,0.544611216,0.836658895,9.97E-01
0.026006134,0.617195308,0.78349632,9.95E-01
0.026164708,0.686357737,0.726341307,9.99E-01
0.026323282,0.752352357,0.661626995,1.00E+00
0.026481856,0.81154114,0.588346243,1.00E+00
0.02664043,0.860385358,0.509325027,1.00E+00
0.026799004,0.901673317,0.432178468,1.00E+00
0.026957578,0.937656701,0.346680254,9.99E-01
0.027116152,0.964596152,0.260891795,9.99E-01
0.027274726,0.98474884,0.1729725,1.00E+00
0.0274333,0.996713459,0.082804069,1.00E+00
0.027591874,0.99930948,-0.007872561,9.99E-01
0.027750448,0.993982494,-0.095065065,9.97E-01
0.027909022,0.984516203,-0.186666727,1.00E+00
0.028067596,0.962560833,-0.275608689,1.00E+00
0.02822617,0.932693362,-0.361041903,1.00E+00
0.028384744,0.895461619,-0.442458332,9.98E-01
0.028543318,0.85182327,-0.519264877,9.95E-01
0.028701892,0.803191781,-0.590773165,9.94E-01
0.028860466,0.751953781,-0.662918031,1.00E+00
0.02901904,0.688079357,-0.730287075,1.01E+00
0.029177614,0.617612779,-0.789437056,1.00E+00
0.029336188,0.542503893,-0.839636743,9.99E-01
0.029494762,0.465471506,-0.881342888,9.93E-01
0.029653336,0.38813132,-0.916395545,9.90E-01
0.02981191,0.311320722,-0.950005352,9.99E-01
0.029970484,0.223718464,-0.978549302,1.01E+00
0.030129058,0.132548362,-0.995768785,1.01E+00
0.030287632,0.04057553,-1.00140178,1.00E+00
0.030446206,-0.048255809,-0.996711373,9.96E-01
0.03060478,-0.132192314,-0.985448897,9.89E-01
0.030763354,-0.212053061,-0.972422302,9.91E-01
0.030921928,-0.298912346,-0.956361353,1.00E+00
0.031080502,-0.386200458,-0.927939177,1.01E+00
0.031239076,-0.470350921,-0.887977779,1.01E+00
0.03139765,-0.546831667,-0.838187456,1.00E+00
0.031556224,-0.613864183,-0.783601999,9.91E-01
0.031714798,-0.673803329,-0.729155838,9.86E-01
0.031873372,-0.73650831,-0.674644589,9.98E-01
0.032031946,-0.797324479,-0.609241962,1.01E+00
0.03219052,-0.851910472,-0.534810126,1.01E+00
0.032349094,-0.895857692,-0.453064293,1.01E+00
0.032507668,-0.927465975,-0.369645089,9.97E-01
0.032666242,-0.950051427,-0.289681375,9.87E-01
0.032824816,-0.972449899,-0.213332519,9.91E-01
0.03298339,-0.992102027,-0.129242301,1.00E+00
0.033141964,-1.00384557,-0.040284038,1.01E+00
0.033300538,-1.00420368,0.052213751,1.01E+00
0.033459112,-0.991626024,0.142686293,1.00E+00
0.033617684,-0.969850242,0.226100147,9.92E-01
0.03377626,-0.946655154,0.302293479,9.88E-01
0.033934832,-0.921782851,0.382074028,9.96E-01
0.034093408,-0.888956606,0.462275475,1.00E+00
0.03425198,-0.846379817,0.541971028,1.01E+00
0.034410556,-0.792653084,0.616313756,1.01E+00
0.034569128,-0.731477082,0.680737555,9.98E-01
0.034727704,-0.669611156,0.735371768,9.89E-01
0.034886276,-0.608332694,0.789439023,9.93E-01
0.035044852,-0.54076767,0.840385616,9.99E-01
0.035203424,-0.46710524,0.88744837,1.01E+00
0.035362,-0.386026978,0.927075922,1.01E+00
0.035520572,-0.300786585,0.955507815,1.00E+00
0.035679148,-0.217073709,0.973166704,9.94E-01
0.03583772,-0.136749983,0.987475395,9.94E-01
0.035996296,-0.052920692,0.996760309,9.96E-01
0.036154868,0.032205626,1.00005484,1.00E+00
0.036313444,0.119938865,0.995611131,1.01E+00
0.036472016,0.207799122,0.980695009,1.00E+00
0.036630592,0.291362703,0.955937803,9.99E-01
0.036789164,0.368855566,0.926959336,9.95E-01
0.03694774,0.446641892,0.893122435,9.97E-01
0.037106312,0.520952404,0.85271579,9.99E-01
0.037264888,0.593008637,0.806231022,1.00E+00
0.03742346,0.661396086,0.752036333,1.00E+00
0.037582036,0.723199546,0.690872312,1.00E+00
0.037740608,0.777309954,0.626631737,9.97E-01
0.037899184,0.828935742,0.559292257,1.00E+00
0.038057756,0.873575449,0.486209035,1.00E+00
0.038216332,0.91201055,0.410191298,1.00E+00
0.038374904,0.944031835,0.330649287,1.00E+00
0.03853348,0.968320072,0.248384401,9.99E-01
0.038692052,0.984723687,0.165791526,9.97E-01
0.038850628,0.997171104,0.082786992,1.00E+00
0.0390092,1.00107825,-0.004045722,1.00E+00
0.039167776,0.996428549,-0.089824796,1.00E+00
0.039326348,0.984362125,-0.174313337,9.99E-01
0.039484924,0.965094626,-0.256778151,9.97E-01
0.039643496,0.939464271,-0.33619523,9.96E-01
0.039802072,0.910219729,-0.413260579,9.99E-01
0.039960644,0.873119414,-0.491902381,1.00E+00
0.04011922,0.826868653,-0.565740585,1.00E+00
0.040277792,0.774043322,-0.633851886,1.00E+00
0.040436368,0.716166198,-0.695675194,9.97E-01
0.04059494,0.654982626,-0.751419127,9.94E-01
0.040753516,0.592289984,-0.802758873,9.95E-01
0.040912088,0.524292469,-0.853724599,1.00E+00
0.041070664,0.4482086,-0.89736402,1.01E+00
0.041229236,0.367975831,-0.932095349,1.00E+00
0.041387812,0.286040783,-0.957657397,9.99E-01
0.041546384,0.204849645,-0.975303233,9.93E-01
0.04170496,0.125511125,-0.987785459,9.91E-01
0.041863532,0.044437889,-0.998979509,1.00E+00
0.042022108,-0.042483907,-1.00218022,1.01E+00
0.04218068,-0.130221575,-0.99508512,1.01E+00
0.042339256,-0.215863064,-0.977887154,1.00E+00
0.042497828,-0.296549529,-0.952614367,9.95E-01
0.042656404,-0.371667653,-0.92293787,9.90E-01
0.042814976,-0.444832265,-0.892506421,9.94E-01
0.042973552,-0.521156847,-0.855443835,1.00E+00
0.043132124,-0.594967902,-0.808594048,1.01E+00
0.0432907,-0.663299918,-0.752778232,1.01E+00
0.043449272,-0.723224044,-0.690453649,1.00E+00
0.043607848,-0.774504781,-0.62588644,9.92E-01
0.04376642,-0.820921719,-0.562464476,9.90E-01
0.043924996,-0.86807251,-0.495418549,9.99E-01
0.044083568,-0.910282731,-0.420695722,1.01E+00
0.044242144,-0.94477576,-0.339887589,1.01E+00
0.044400716,-0.968912482,-0.255507261,1.00E+00
0.044559292,-0.982771516,-0.172021985,9.95E-01
