Frequency (GHz),Re( S41 ),Im( S41 ),S2
0,-1.20E-05,0,1.43E-10
0.000101605,-9.76E-06,7.00E-06,1.44E-10
0.000203211,-3.83E-06,1.15E-05,1.48E-10
0.000304816,3.83E-06,1.17E-05,1.52E-10
0.000406421,1.03E-05,7.17E-06,1.57E-10
0.000508026,1.26E-05,-5.30E-07,1.59E-10
0.000609632,9.64E-06,-8.04E-06,1.58E-10
0.000711237,2.79E-06,-1.21E-05,1.54E-10
0.000812842,-4.89E-06,-1.12E-05,1.48E-10
0.000914447,-1.04E-05,-6.04E-06,1.44E-10
0.001016053,-1.18E-05,1.10E-06,1.40E-10
0.001117658,-8.98E-06,7.77E-06,1.41E-10
0.001219263,-2.81E-06,1.17E-05,1.44E-10
0.001320868,4.67E-06,1.13E-05,1.49E-10
0.001422474,1.07E-05,6.38E-06,1.55E-10
0.001524079,1.26E-05,-1.44E-06,1.60E-10
0.001625684,9.10E-06,-8.89E-06,1.62E-10
0.00172729,1.72E-06,-1.25E-05,1.59E-10
0.001828895,-6.11E-06,-1.08E-05,1.53E-10
0.0019305,-1.10E-05,-4.84E-06,1.45E-10
0.002032105,-1.15E-05,2.49E-06,1.38E-10
0.002133711,-7.82E-06,8.54E-06,1.34E-10
0.002235316,-1.47E-06,1.14E-05,1.33E-10
0.002336921,5.41E-06,1.03E-05,1.35E-10
0.002438526,1.06E-05,5.35E-06,1.40E-10
0.002540132,1.20E-05,-1.97E-06,1.48E-10
0.002641737,8.66E-06,-9.06E-06,1.57E-10
0.002743342,1.32E-06,-1.27E-05,1.64E-10
0.002844947,-6.93E-06,-1.09E-05,1.67E-10
0.002946553,-1.20E-05,-4.20E-06,1.63E-10
0.003048158,-1.18E-05,4.01E-06,1.55E-10
0.003149763,-6.77E-06,1.00E-05,1.46E-10
0.003251369,4.50E-07,1.17E-05,1.37E-10
0.003352974,6.97E-06,9.00E-06,1.29E-10
0.003454579,1.07E-05,3.31E-06,1.25E-10
0.003556184,1.06E-05,-3.36E-06,1.24E-10
0.00365779,6.85E-06,-8.91E-06,1.26E-10
0.003759395,4.51E-07,-1.14E-05,1.31E-10
0.003861,-6.53E-06,-9.80E-06,1.39E-10
0.003962605,-1.14E-05,-4.09E-06,1.47E-10
0.004064211,-1.19E-05,3.86E-06,1.56E-10
0.004165816,-7.02E-06,1.06E-05,1.61E-10
0.004267421,1.14E-06,1.26E-05,1.61E-10
0.004369027,8.61E-06,9.02E-06,1.56E-10
0.004470632,1.20E-05,1.79E-06,1.46E-10
0.004572237,1.02E-05,-5.56E-06,1.36E-10
0.004673842,4.83E-06,-1.02E-05,1.27E-10
0.004775448,-1.90E-06,-1.08E-05,1.20E-10
0.004877053,-7.57E-06,-7.60E-06,1.15E-10
0.004978658,-1.05E-05,-1.88E-06,1.15E-10
