,STD(phi_D)
0,6.976991395209534e-07
1,1.3727421113087877e-06
2,2.1969344303855887e-06
3,3.1971664379874797e-06
4,4.266179687494077e-06
5,5.558310505371795e-06
6,6.811437647402381e-06
7,8.295547713294142e-06
8,9.700590943328785e-06
9,1.1220031618348513e-05
10,1.2912691580523964e-05
11,1.4547069604919948e-05
12,1.6196996157667292e-05
13,1.7778302554814808e-05
14,1.9523648209817737e-05
15,2.141404680767563e-05
16,2.2766467766095523e-05
17,2.456199093616897e-05
18,2.6658621256038825e-05
19,2.783778714238223e-05
20,2.9459779094416423e-05
21,3.115796666102249e-05
22,3.3443303511561056e-05
23,3.394761145251795e-05
24,3.581258548911221e-05
25,3.74326690962911e-05
26,3.871968063394355e-05
27,4.056623987709607e-05
28,4.147519553580886e-05
29,4.337867970616673e-05
30,4.44057548975629e-05
31,4.5213065498240473e-05
32,4.6202541793076714e-05
33,4.7735132838674207e-05
34,4.901466700636421e-05
35,4.9794124971276225e-05
36,5.056538452720786e-05
37,5.167457336166343e-05
38,5.2117323656379864e-05
39,5.297267866077326e-05
40,5.4900599035001276e-05
41,5.5399920257127435e-05
42,5.635142629015626e-05
43,5.6357281960350477e-05
44,5.720178055268134e-05
45,5.709923022234012e-05
46,5.882433936949166e-05
47,5.750287127188235e-05
48,5.848560381131252e-05
49,6.050330303654391e-05
50,5.907264843827967e-05
51,5.739722349819977e-05
52,5.964783578002325e-05
53,5.967293532891684e-05
54,5.98663447541953e-05
55,6.128656544290056e-05
56,6.0345656113178076e-05
57,5.924994191189143e-05
58,6.244187356799421e-05
59,6.003677379649963e-05
60,6.175103786514641e-05
61,5.9572966761952026e-05
62,5.9969251601411554e-05
63,6.0418782228729764e-05
64,5.9368188689897615e-05
65,6.075587519467072e-05
66,6.14697813409938e-05
67,6.231945368350813e-05
68,5.819956890349922e-05
69,5.930161334051964e-05
70,5.466025248596114e-05
71,5.9432859296665706e-05
72,5.9300942174386427e-05
73,5.68413227903888e-05
74,5.771826886631588e-05
75,5.766946136642081e-05
76,5.899432618801276e-05
77,6.223260674964416e-05
78,5.452012826692634e-05
79,5.377148141137572e-05
80,5.576281910043073e-05
81,5.501446952939794e-05
82,5.393021246112587e-05
83,4.599129411715729e-05
84,5.612315975169303e-05
85,5.482096881543731e-05
86,5.313358321144893e-05
87,4.917843978438168e-05
88,4.5478457168206565e-05
89,5.119541777034356e-05
90,5.425141284713165e-05
91,4.689820856244081e-05
92,4.2924618932781455e-05
93,5.170403631134029e-05
94,3.8978939812823015e-05
95,4.379702363255081e-05
96,4.746366660415225e-05
97,4.774004354003755e-05
98,4.40026610495669e-05
99,3.9258431796071184e-05
100,4.042444874258907e-05
101,5.234393746590036e-05
102,4.4571745346654714e-05
103,5.962840990563719e-05
104,5.231980935682351e-05
105,4.036449681711471e-05
106,4.986217713381525e-05
107,4.021164167717697e-05
108,2.922231366376328e-05
109,2.5998726998935472e-05
110,2.670135778529789e-05
111,5.247765806683487e-05
112,3.633059116952813e-05
113,4.0843392479932155e-05
114,0.0
115,2.482676470497146e-05
116,2.546331780723991e-05
117,3.692235552644166e-05
118,4.231896666253338e-05
119,1.940261733662485e-05
120,3.976133851934196e-05
121,3.528280229707026e-05
