,STD(n_D)
0,8.513854116016384
1,6.378725564406843
2,5.041615912671146
3,4.121545128538003
4,3.4520430848779995
5,2.948045485195526
6,2.550778468021225
7,2.231594855353488
8,1.9747070195901664
9,1.7591487883502193
10,1.5739816829195261
11,1.4185376325986174
12,1.2838245906049843
13,1.16624291969779
14,1.0663887665855498
15,0.976460717308564
16,0.8891906286070494
17,0.8215495758805046
18,0.7596799646134789
19,0.7041036456414776
20,0.6501149245006564
21,0.6080385422924345
22,0.5634503104753449
23,0.5221426018917906
24,0.4876848740184233
25,0.45573644843149985
26,0.42470060388431996
27,0.3954202375746234
28,0.3707171656105395
29,0.35123892597730083
30,0.32869815294951804
31,0.3097028388877933
32,0.2907871116221822
33,0.2717027378629516
34,0.25891932349361674
35,0.24199219817506976
36,0.22863292129247292
37,0.21615209420039694
38,0.2015601581420916
39,0.19050220704997334
40,0.18191088709287223
41,0.17335522719699095
42,0.15976435001353234
43,0.1511723344151659
44,0.1438521833512947
45,0.13625646192991447
46,0.13262760267719842
47,0.12739849670346887
48,0.11429284192209299
49,0.11274328758338781
50,0.10639242484873386
51,0.10480239332112322
52,0.0971177471645557
53,0.09213094588074688
54,0.08895127186905924
55,0.0826111223761424
56,0.07782566618133342
57,0.07403412655532933
58,0.06923352274680819
59,0.07117171810947193
60,0.06482021161656755
61,0.06357543406393981
62,0.06113939971393456
63,0.058602189194109165
64,0.05479434056564782
65,0.050858837362509714
66,0.045550329491106045
67,0.04794757661227208
68,0.047277230104473815
69,0.04246574697368924
70,0.040933023938564864
71,0.038518717928260754
72,0.04171122172027883
73,0.04034844730940674
74,0.03572383491118953
75,0.03292979749169004
76,0.03066832152898915
77,0.027362842094476432
78,0.02906674237765139
79,0.028513833416964247
80,0.026176544440626892
81,0.022569649113220406
82,0.022215999750979168
83,0.018700936540645505
84,0.023955429733958568
85,0.02186394741990389
86,0.022230397678447093
87,0.019140620775294454
88,0.013803656975794837
89,0.02036365714076883
90,0.015964163446561964
91,0.016941407818422675
92,0.01493913257963048
93,0.015470490179479147
94,0.014404834260587399
95,0.01598919743315919
96,0.014415936253958404
97,0.011313142855982682
98,0.012006064527623357
99,0.014432573231513212
100,0.011334335149653532
101,0.0057128571071196396
102,0.010620203440983944
103,0.009846334595650458
104,0.00900621389992037
105,0.007019620537660902
106,0.010650289063414503
107,0.009032820202789293
108,0.01066530004910721
109,0.00989495876591217
110,0.011404691723175596
111,0.010687776997219104
112,0.008148212114564374
113,0.005878481465954064
114,0.005892073348759779
115,0.005905633949777545
116,0.005919163484003882
117,0.005932662163983788
118,0.008206903476557564
119,0.008216644611709362
120,0.00597297516793468
121,0.0059863525086954385
